en	fr	fr-phon
hello	bonjour	(bon-jhoor) 
ice cream	glace	(glas) 
water	eau	(oh) 
supermarket	supermarché	(soo-pair-mar-shay) 
cat	chat	(sha) 
bus	autobus	(o-toh-boos) 
dress	robe	(rob) 
dog	chien	(shee-uh) 
banana	banane	(ba-nan) 
carrot	carotte	(ka-rot) 
taxi	taxi	(tak-see) 
t-shirt	t-shirt	(tee-shert) 
fish	poisson	(pwa-son) 
aeroplane/airplane	avion	(av-ee-on) 
horse	cheval	(shuh-val) 
french fries	frites	(freet) 
swimming pool	piscine	(pee-seen) 
cheese	fromage	(fro-mah-jh) 
towel	serviette	(sair-vee-et) 
doctor	docteur	(dok-ter) 
apple	pomme	(pom) 
beach	plage	(plah-jh) 
bicycle	vélo	(vay-loh) 
airport	aéroport	(air-roh-por) 
juice	jus	(jhoo) 
bakery	boulangerie	(boo-lon-jher-ee) 
shoes	chaussures	(shoh-sewr) 
phone	téléphone	(teh-leh-fon) 
post office	bureau de poste	(bew-roh duh po-st) 
restaurant	restaurant	(res-toh-ron) 
hotel	hôtel	(oh-tel) 
milk	lait	(lay) 
chocolate	chocolat	(sho-koh-la) 
car	voiture	(vwa-tewr) 
hat	chapeau	(sha-poh) 
sunglasses	lunettes de soleil	(loo-net duh so-lay) 
chicken	poulet	(poo-lay) 
train	train	(tra) 
station	gare	(gar) 
toilet	toilette	(twa-let) 
bed	lit	(lee) 
house	maison	(may-zon) 
trousers/pants	pantalon	(pon-ta-lon) 
suitcase	valise	(va-leez) 
plate	assiette	(ass-ee-et) 
knife	couteau	(koo-toh) 
fork	fourchette	(for-shet) 
spoon	cuillère	(kwee-air) 
computer	ordinateur	(or-dee-na-ter) 
book	livre	(leev-ruh) 
sandwich	sandwich	(sond-weech) 
yes	oui	(wee) 
no	non	(n-on) 
cinema/movie theater	cinéma	(see-nay-ma) 
park	parc	(park) 
menu	carte	(kart) 
passport	passeport	(pass-por) 
police officer	officier de police	(o-fees-yay duh po-lees) 
key	clé	(klay) 
ticket	billet	(bee-yay) 
pineapple	ananas	(a-na-nas) 
rain	pluie	(plwee) 
snow	neige	(neh-jh) 
sun	soleil	(so-lay) 
tree	arbre	(ah-bruh) 
flower	fleur	(fl-uhr) 
cake	gâteau	(ga-toh) 
ball	ballon	(ba-lon) 
bird	oiseau	(wa-zoh) 
egg	œuf	(erf) 
umbrella	parapluie	(pa-ra-plwee) 
rabbit	lapin	(la-pa) 
money	argent	(ar-jhon) 
bank	banque	(bong-k) 
mouse	souris	(soo-ree) 
scarf	écharpe	(eh-sharp) 
gloves	gants	(gon) 
coat	manteau	(mon-toh) 
hospital	hôpital	(o-pee-tal) 
chair	chaise	(shez) 
table	table	(ta-bluh) 
toothbrush	brosse à dents	(bross a don) 
toothpaste	dentifrice	(don-tee-frees) 
sun cream/sunscreen	crème solaire	(krem so-lair) 
lion	lion	(lee-on) 
elephant	éléphant	(eh-leh-fon) 
monkey	singe	(san-jh) 
spider	araignée	(a-ray-nyay) 
burger	hamburger	(om-buhr-guhr) 
pen	stylo	(stee-loh) 
door	porte	(port) 
window	fenêtre	(fer-neh-truh) 
tent	tente	(ton-t) 
church	église	(eh-gleez) 
tomato	tomate	(toh-mat) 
moon	lune	(loon) 
stars	étoiles	(eh-twahl) 
postcard	carte postale	(kart poh-stahl) 
boat	bateau	(ba-toh) 
goodbye	au revoir	(oh ruh-vwar) 
