english	indonesia	indonesia2
this apple is red 	apel ini berwarna merah	apel ini merah
this is John's apple 	ini apel John	ini apelnya si John
I give John this apple 	saya memberi John apel ini	aku kasih apelnya sama si John
We give him this apple 	kami memberi dia apel ini	kita kasih apelnya sama dia
He gives this to John 	dia memberikan ini kepada John	dia kasih apelnya sama si John
She gives this to him 	dia memberikan ini kepadanya	dia kasih ini sama dia
Is this apple red? 	apakah apel ini berwarnya merah?	apa apel ini merah?
these apples are red 	apel-apel ini berwarna merah	apelnya merah
I must give this to him 	saya harus memberikan ini kepadanya	aku mesti kasih ini sama dia
I want to give this to her 	saya inin memberikan ini kepadanya	aku mau kasih ini sama dia
I'm going to know tomorrow 	saya akan tahu besok	nanti besok baru tahu
I can't eat this apple 	saya tidak boleh makan apel ini	aku nggak bisa makan apel ini
