description	term
stagnation; at a standstill; bogged down	停滞 tíng zhì
pavilion	亭子 tíng zi
tall and straight	挺拔 tǐng bá
inflation	通货膨胀 tōng huò péng zhàng
common; everyday; average	通俗 tōng sú
common (use); interchangeable	通用 tōng yòng
born of the same parents; fellow citizen or countryman	同胞 tóng bāo
children's fairy tales	童话 tóng huà
copper mine	铜矿 tóng kuàng
comrade; homosexual (slang); CL:個|个[gè]	同志 tóng zhì
an overall plan taking into account all factors	统筹兼顾 tǒng chóu jiān gù
statistics; to count; to add up	统计 tǒng jì
totally	统统 tǒng tǒng
to speculate (on financial markets); opportunistic; congenial; agreeable	投机 tóu jī
to vote; vote	投票 tóu piào
to surrender; surrender	投降 tóu xiáng
to throw sth a long distance; to hurl	投掷 tóu zhì
bald; blunt	秃 tū
to break through; to make a breakthrough; to surmount or break the back of (a task etc); (of ball sports) to break through a defense	突破 tū pò
design; pattern	图案 tú àn
apprentice; disciple	徒弟 tú dì
way; channel	途径 tú jìng
to paint; to smear; to doodle	涂抹 tú mǒ
soil	土壤 tǔ rǎng
a rally; to hold a rally; to join forces	团结 tuán jié
group; organization; team; CL:個|个[gè]	团体 tuán tǐ
member; group member	团员 tuán yuán
speculation; to conjecture; to surmise; to speculate	推测 tuī cè
overthrow	推翻 tuī fān
reasoning; speculative; inference	推理 tuī lǐ
to infer; a deduction; a corollary; a reasoned conclusion	推论 tuī lùn
to market; to sell	推销 tuī xiāo
to swallow; to gulp	吞咽 tūn yàn
to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany)	脱离 tuō lí
to adjourn; to delay; to defer; adjournment; procrastination	拖延 tuō yán
to consign (goods); to check through (baggage)	托运 tuō yùn
appropriate; proper; ready	妥当 tuǒ dang
appropriate; proper	妥善 tuǒ shàn
to compromise; to reach terms; a compromise	妥协 tuǒ xié
oval; ellipse; elliptic	椭圆 tuǒ yuán
spittle; saliva	唾沫 tuò mo
to excavate; to dig; to unearth	挖掘 wā jué
baby; small child; doll	娃娃 wá wa
to collapse; to disintegrate; to crumble	瓦解 wǎ jiě
Wow!; sound of child's crying	哇 wa
to distort; to misrepresent	歪曲 wāi qū
external; outside; outward appearance	外表 wài biǎo
layman; amateur	外行 wài háng
the outside world; external	外界 wài jiè
outward-looking; extrovert; extroverted (personality); export-oriented (economy)	外向 wài xiàng
pill	丸 wán
faultless; complete; perfect; to leave nothing to be desired	完备 wán bèi
to finish; to end; to complete	完毕 wán bì
stubborn; obstinate	顽固 wán gù
to play with; to engage in; to resort to; to dally with	玩弄 wán nòng
tenacious; hard to defeat	顽强 wán qiáng
toy; plaything; thing; act; trick (in a performance, stage show, acrobatics etc)	玩意儿 wán yì r5
to retrieve; to redeem	挽回 wǎn huí
to save; to remedy; to rescue	挽救 wǎn jiù
to feel sorry for a person over sth that should have happened	惋惜 wǎn xī
very much; extremely; one ten thousandth part	万分 wàn fēn
habitually in the past; as one used to do formerly; as it used to be	往常 wǎng cháng
network (computing, telecommunications, transport etc); Internet	网络 wǎng luò
past events; former happenings	往事 wǎng shì
to attempt vainly; a vain attempt	妄想 wàng xiǎng
negligible; insignificant	微不足道 wēi bù zú dào
might; awe-inspiring authority; impressive	威风 wēi fēng
micro-; sub-atomic	微观 wēi guān
crisis; CL:個|个[gè]	危机 wēi jī
might; formidable power	威力 wēi lì
prestige	威望 wēi wàng
(of a government, etc.) prestige and public reliance	威信 wēi xìn
to violate; to be contrary to	违背 wéi bèi
to keep; to maintain; to preserve	维持 wéi chí
only; just (i.e. it is only that...); all except; unique	唯独 wéi dú
feel embarrassed or awkward; to make things difficult (for someone); to find things difficult (to do or manage)	为难 wéi nán
(to be done) by (a certain date); lasting (a certain time)	为期 wéi qī
vitamin	维生素 wéi shēng sù
head; be headed by	为首 wéi shǒu
maintenance (of equipment); to protect and maintain	维修 wéi xiū
committee member; committee; council; CL:個|个[gè]	委员 wěi yuán
to forge; to fake; to counterfeit	伪造 wěi zào
to fear; to dread; foreboding	畏惧 wèi jù
appetite	胃口 wèi kǒu
unavoidable; a bit too much; over the top (you exaggerate)	未免 wèi miǎn
to express sympathy, greetings, consolation etc	慰问 wèi wèn
(space) satellite; CL:顆|颗[kē]	卫星 wèi xīng
to be located at; to be situated at; to lie	位于 wèi yú
temperate zone	温带 wēn dài
moderate (policy etc)	温和 wēn hé
diploma	文凭 wén píng
cultural relic; historical relic; CL:件[jiàn],個|个[gè]	文物 wén wù
document	文献 wén xiàn
elegant; refined	文雅 wén yǎ
literature and art	文艺 wén yì
to be published; to come out	问世 wèn shì
nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods	窝 wō
jet-black; dark	乌黑 wū hēi
slander	污蔑 wū miè
to entrap; to frame; to plant false evidence against sb	诬陷 wū xiàn
matchless	无比 wú bǐ
free; no charge; at no cost	无偿 wú cháng
without any sense of shame; unembarrassed; shameless	无耻 wú chǐ
not to have access; beyond one's authority or capability; sth one has no way of doing	无从 wú cóng
aloof; indifferent; unconcerned	无动于衷 wú dòng yú zhōng
only; nothing else	无非 wú fēi
