character	number	Freq.	Unicode	syllables	viet	English	VietOnly	thaiCognate	thaiMeaning	etymology
𧵑	1	1	U+27D51	1	của	of; to belong to; properties, belongings	TRUE			
吧	4	2	U+5427	1	và	and, also	FALSE			
𪜀	5	3	U+2A700	1	là	to be (also 羅)	TRUE			
𠬠	14	4	U+20B20	1	một	one	TRUE			
固	28	5	U+56FA	1	có	there is; to have; sure, of course (also 𣎏)	FALSE			
仍	39	6	U+4ECD	1	những	(plural marker); some; as many as	FALSE			
𠊛	41	7	U+2029B	1	người	people; person; human	TRUE			
𠊚	49	7	U+2029A	1	ngài	gentleman; Mr.	TRUE			
𥪝	50	8	U+25A9D	1	trong	in; within	TRUE	ตรง	in / at	From Middle Vietnamese tlao᷄, from Proto-Vietic *k-lɔːŋ (“clear; limpid”).
特	52	9	U+7279	1	được	to get; to obtain; to be able to	FALSE			
空	61	10	U+7A7A	1	không	no; not; without; (closed-question marker)	FALSE			
㐌	77	11	U+340C	1	đã	already	TRUE			
𠇍	80	12	U+201CD	1	mấy	(quite) a few, some; how many	TRUE			
唄	83	12	U+5504	1	với	(together) with	FALSE			
朱	86	13	U+6731	1	cho	to give; so that	FALSE			
各	92	14	U+5404	1	các	each; every; all	FALSE			
碎	95	15	U+788E	1	tôi	I, my, me	FALSE			
於	99	16	U+65BC	1	ở	to be (somewhere); at; to live	FALSE	อยู่	at / stay 	From Proto-Vietic *ʔəh (“to stay”); cognate with Muong ớ.  Most prepositions in Vietnamese were originally verbs: cho (“to give; for”), đến (“to come; to”), tới (“to arrive; to”), lên (“to go up; onto”), vào (“to enter; in, into”), theo (“to follow; according to”), về (“to return; about”).  Similarity to Chinese 於 is coincidental, as semantically the Vietnamese word is a grammaticalized verbal and phonetically there is a tonal mismatch. From Proto-Tai *ˀjuːᴮ (“to be (in a place)”). Cognate with Northern Thai ᩀᩪ᩵, Lao ຢູ່ (yū), Lü ᦊᦴᧈ (ẏuu1), Tai Dam ꪤꪴ꪿, Shan ယူႇ (yùu), Ahom 𑜊𑜥 (jʸū), Bouyei qyus, Zhuang youq.
翁	105	17	U+7FC1	1	ông	man; Mr.	FALSE			
𧗱	112	18	U+275F1	1	về	to return; about; (back) to	TRUE			
底	116	19	U+5E95	1	để	to place; to set; to leave; to keep	FALSE			
拱	119	20	U+62F1	1	cũng	also; too	FALSE			
旦	121	21	U+65E6	1	đán	【day, dawn, morning】*	FALSE			
𦤾	123	21	U+2693E	1	đến	to arrive, to come	TRUE			
呢	125	22	U+5462	1	này	this; here	FALSE			
𠓨	129	23	U+204E8	1	vào	in; into	TRUE			
𡗉	133	24	U+215C9	1	nhiều	many; much; a lot of	TRUE			
偀	138	25	U+5040	1	anh	elder brother	TRUE			
妬	144	26	U+59AC	1	đó	there; that	FALSE			
如	151	27	U+5982	1	như	as; like; alike; similar to	FALSE			
自	158	28	U+81EA	1	tự	self	FALSE			
欺	166	30	U+6B3A	1	khi	when, while; case, circumstance	FALSE			
𨕭	179	31	U+2856D	1	trên	above; at the top	TRUE			
𫥨	182	32	U+2B968	1	ra	to get out	TRUE			
𦓡	197	33	U+264E1	1	mà	but	TRUE			
沛	201	34	U+6C9B	1	phải	right; to have to; must; should	FALSE			
吏	203	35	U+540F	1	lại	also; to come; again, re-...	FALSE			
群	215	36	U+7FA4	1	còn	still; remaining; besides, also	FALSE			
𠱊	217	37	U+20C4A	1	sẽ	to be going to; will; shall	TRUE			
時	218	38	U+6642	1	thì	【time; era, period】*	FALSE			
㖘	227	38	U+3598	1	thì	so, then; certainly	TRUE			
𢆥	229	39	U+221A5	1	năm	year	TRUE			
爫	234	40	U+722B	1	làm	to do; to make	TRUE			
茹	249	41	U+8339	1	nhà	house; home; building	FALSE			
𨉟	271	42	U+2825F	1	mình	we; us	TRUE			
𠫾	276	43	U+20AFE	1	đi	to go, to walk; come on!	TRUE	เดิน	walk	From Proto-Vietic *diː ~ tiː (“to go, to walk”); cognate with Muong ti, Chut [Rục] tiː², Thavung tiː² and Tho [Cuối Chăm] tiː².
𡥵	294	44	U+21975	1	con	child	TRUE	คน	person	From Proto-Tai *ɢwɯnᴬ (“human being; person”). Cognate with Northern Thai ᨤᩫ᩠ᨶ, Lao ຄົນ (khon), Lü ᦅᦳᧃ (kun), Shan ၵူၼ်း (kúun), Tai Nüa ᥐᥨᥢᥰ (kön), Ahom 𑜀𑜤𑜃𑜫 (kun), Bouyei wenz, Zhuang vunz, Zuojiang Zhuang koenz. Nôm form of con (“child”).
在	303	45	U+5728	1	tại	at, in; because, because of	FALSE	ที่	at / on / in	From Sinitic 在 From Proto-Tai *diːᴮ. Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii1), Shan တီႈ (tīi), Ahom 𑜄𑜣 (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Chinese 地 (MC diɪH), Malay di.
𠄩	309	46	U+20129	1	hai	two	TRUE			
被	312	47	U+88AB	1	bị	to befall; (passive preposition)	FALSE			
備	314	47	U+5099	1	bị	【to prepare】*	FALSE			
役	317	48	U+5F79	1	việc	job; work; business	FALSE			
只	325	49	U+53EA	1	chỉ	only; merely	FALSE	ชี้	point	From Proto-Vietic *cih (“to point”); probably related to Sino-Vietnamese word from 指 (“finger”). From Proto-Tai *ɟiːᶜ (“to point”), from Middle Chinese 指 (MC t͡ɕˠiɪX, “finger; to point; to indicate”). Cognate with Northern Thai ᨩᩦ᩶, Lao ຊີ້ (sī), Lü ᦋᦲᧉ (tsii2), Tai Dam ꪋꪲ꫁, Shan ၸီႉ (tsḭ̂i), Ahom 𑜋𑜣 (chī), Nong Zhuang jix. Compare Vietnamese chỉ, chĩa.
事	326	50	U+4E8B	1	sự	matter, business; occurrence, event	FALSE			
遶	335	51	U+9076	1	theo	to follow; according to	FALSE			
丐	338	52	U+4E10	1	cái	a; the; (numeral)	FALSE			
爲	344	53	U+7232	1	vì	because; as; for	FALSE			
欣	350	54	U+6B23	1	hơn	more than; better than	FALSE			
呐	351	55	U+5450	1	nói	to speak; to say; to talk	FALSE			
姑	357	56	U+59D1	1	cô	Ms., young woman; father's sister; husband's mother	FALSE			
𣈜	360	57	U+2321C	1	ngày	day	TRUE			
㵋	372	58	U+3D4B	1	mới	new; fresh	TRUE	ใหม่	new	From Proto-Vietic *ɓəːjʔ. Unrelated to Thai ใหม่ (mài) or Khmer ថ្មី (thməy).
𨖲	376	59	U+285B2	1	lên	to rise; to ascend; to go up	TRUE			
慄	380	60	U+6144	1	rất	very; quite	FALSE			
戶	382	61	U+6236	1	họ	they	FALSE			
婆	386	62	U+5A46	1	bà	woman; Mrs.	TRUE	ป้า	aunty	Sino-Vietnamese word from 婆 (“grandmother”).
局	393	63	U+5C40	1	cuộc	match, game; 【circumstances】*	FALSE			
册	397	64	U+518C	1	sách	book	FALSE			
同	402	65	U+540C	1	đồng	same; similar; Dong (Vietnamese currency unit)	FALSE			
銅	407	65	U+9285	1	đồng	copper; brass; bronze; coin, money	FALSE			
垌	409	65	U+578C	1	đồng	field; countryside, country; rural	TRUE			
𡢐	412	66	U+21890	1	sau	after; following	TRUE			
當	424	68	U+7576	1	đang	currently; just; now	FALSE			
咍	426	69	U+548D	1	hay	or; good; well	TRUE			
𤯩	430	70	U+24BE9	1	sống	to live; alive; raw	TRUE			
年	436	71	U+5E74	1	niên	【year】*	FALSE			
𢧚	443	71	U+229DA	1	nên	to ought to, shall; to become	TRUE			
固體	29	72		2	có thể	possibly, maybe; may, can				
固體	3079	72		2	có thể	possibly, maybe; may, can				
别	447	73	U+522B	1	biết	to know	FALSE			
𧡊	459	74	U+2784A	1	thấy	to see; to feel	TRUE			
耒	463	75	U+8012	1	rồi	already; then; after	TRUE			
城	465	76	U+57CE	1	thành	citadel; city	FALSE			
成	469	76	U+6210	1	thành	to become; to change into	FALSE			
誠	476	76	U+8AA0	1	thành	sincere; honest	FALSE			
吻	478	77	U+543B	1	vẫn	still, yet	FALSE			
恪	479	78	U+606A	1	khác	other; another; further	FALSE			
𠄼	482	79	U+2013C	1	năm	five	TRUE			
渃	484	80	U+6E03	1	nước	water; country; nation	TRUE	น้ำ	water	From Proto-Vietic *ɗaːk (“water”), from Proto-Mon-Khmer *ɗaak (“water”). Cognates with Nghệ An/Hà Tĩnh dialects nác, Muong đác, Khmer ទឹក (tik), Bahnar đak, Eastern Mnong dak, Central Nicobarese râk/dâk and Santali ᱫᱟᱜ (dak’). From Proto-Tai *C̬.namᶜ (“water”). Cognate with Northern Thai ᨶ᩶ᩣᩴ (nam), Southern Thai หน่าม, Lao ນ້ຳ (nam), Lü ᦓᧄᧉ (nam2), Tai Dam ꪙꪾ꫁ (nam6), Shan ၼမ်ႉ (nâ̰m), Tai Nüa ᥘᥛᥳ (lam5), Khamti ꩫမ်ႇ, Aiton ꩫံ (naṃ), Phake ꩫံ (naṃ), Ahom 𑜃𑜪 (naṃ), Bouyei ramx, Zhuang raemx, Nong Zhuang naemx, Zuojiang Zhuang naemx, Saek นัม. Compare Proto-Be *namᴮᶜ², Proto-Hlai *C-nəmʔ.
伮	499	81	U+4F2E	1	nó	he, she, it (colloquial)	TRUE			
細	500	82	U+7D30	1	tới	to arrive, to come	FALSE			
戈	502	83	U+6208	1	qua	to cross; to pass	FALSE	กว่า	to pass / exceed	Sino-Vietnamese word from 過 (“pass”). Doublet of quá.
哿	507	84	U+54FF	1	cả	all; in total; completely	TRUE			
共	511	85	U+5171	1	cộng	to add (up); addition	FALSE			
之	517	86	U+4E4B	1	gì	what	FALSE			
低	522	87	U+4F4E	1	đây	here; this	FALSE			
数	528	88	U+6570	1	số	number; fate	FALSE			
歲	544	89	U+6B72	1	tuổi	age; year of age	FALSE			
次	552	90	U+6B21	1	thứ	order, rank; sort, type, category; next, subsequent	FALSE			
奇	563	91	U+5947	1	kỳ	strange; unusual	FALSE			
期	564	91	U+671F	1	kỳ	【period, time, age】*	FALSE			
旗	566	91	U+65D7	1	cờ	flag, banner	FALSE			
圻	569	91	U+573B	1	kỳ	【border, boundary】*	TRUE			
