description	term
The delegates arrived one after another.	代表们陆续到达。Dàibiǎo men lùxù dàodá.
pursue (or implement, follow) an independent foreign policy	执行独立自主的外交政策 zhíxíng dúlìzìzhǔ de wàijiāo zhèngcè
go straight ahead along the highway	沿着公路一直走 yán zhe gōnglù yīzhí zǒu
advance along the course charted by the Party	沿着党指引的方向前进 yán zhe dǎng zhǐyǐn de fāngxiàng qiánjìn
the brim of a jar	缸沿儿 gāng yánr
the edge of a ditch	沟沿儿 Gōu yánr
riverside	河沿 hé yán
a flat case; a shallow box	一只扁盒子 yī zhī biǎn hézi
the cardboard box was crushed.	纸箱子压扁了。 Zhǐ xiāngzi yā biǎn le.
as early as possible; at the earliest possible date	尽早 jǐn zǎo
Get the job done in three days at the outside.	尽着三天把事情办好。jǐn zhe sān tiān bǎ shìqing bàn hǎo.
Don't spend more than 100 yuan.	尽着一百块钱花。jǐn zhe yībǎi kuài qián huā.
He lives at the western end of the village.	他家住在村子尽西头。 Tā jiā zhù zài cūnzi jǐn xītóu.
This machine is called a crane.	这种机器叫做起重机。Zhèzhǒng jīqì jiàozuò qǐzhòngjī.
Our method of work may be described as "from the masses, to the masses. "	我们的工作方法叫做"从群众中来, 到群众中去。" Wǒmen de gōngzuò fāngfǎ jiàozuò "cóng qúnzhòng zhōng lái, dào qúnzhòng zhōng qù."
This is what I call stewing in your own juice. Nobody feels sorry for you.	你这叫做自作自受, 没人可怜你。 Nǐ zhè jiàozuò zì zuò zì shòu, méi rén kělián nǐ.
nominal independence	形式上的独立 xíngshìshang de dúlì
maintain formal diplomatic relations	在形式上保持外交关系 zài xíngshìshang bǎochí wàijiāo guānxi
Little by little, we began to get to know him.	渐渐地,我们就跟他熟起来了。jiànjiàn de, wǒmen jiù gēn tā shú qǐlai le.
bring efforts to bear on the right spot	把劲儿使在刀口上 Bǎ jìnr shǐ zài dāokǒu shàng
Use your money where it's needed most.	钱要花在刀口上。 Qián yào huā zài dāokǒu shàng.
further develop the friendly relations and cooperation between our two countries	进一步发展我们两国之间的友好合作关系jìnyībù fāzhǎn wǒmen liǎng guó zhījiān de yǒuhǎo hézuò guānxi
We all call him Lao Li.	我们都称他老李。 Wǒmen dōu chēng tā lǎo lǐ.
I'd like one kilo of apples, please.	给我称一公斤苹果。 Gěi wǒ chēng yī gōngjīn píngguǒ.
We endorse this decision.	我们拥护这个决定。 Wǒmen yōnghù zhège juédìng.
make the table steady	把桌子放稳 bǎ zhuōzi fàng wěn
She is steady and reliable in doing things.	她做事很稳。 Tā zuò shì hěn wěn.
be in a state of unconsciousness; be in a coma	处于昏迷状态 chǔyú hūnmí zhuàngtài
She went into a coma.	她昏迷过去了。 Tā hūnmí guòqu le.
Do you know this comrade?	这位同志你认得吗？ Zhè wèi tóngzhì nǐ rènde ma？
I can no longer recognize the place.	这地方我已经不认得了。 Zhè dìfang wǒ yǐjing bù rènde le.
Can you find your way home?	你认得回家的路吗？ Nǐ rènde huíjiā de lù ma？
try all possible means	想尽各种方法 Xiǎng jìn gèzhǒng fāngfǎ
do one's best; exert one's utmost effort	尽最大努力jìn zuì dà nǔlì shèhuìzhǔyì jìn yī fēn lìliang
beautiful language	优美的语言yōuměi de yǔyán
They say he is doing quite well there.	据说他在那里干得不错。jùshuō tā zài nàli gàn de bùcuò.
The accident was allegedly due to negligence.	这场事故据说是由于疏忽造成的。 Zhè cháng shìgù jùshuō shì yóuyú shūhu zàochéng de.
draw (or come to, reach) a conclusion	得出结论 déchū jiélùn
Don't jump to conclusions.	不要忙于下结论。 Bùyào mángyú xià jiélùn.
Whether this is feasible is still an open question.	这是否可行, 还不能下结论。 Zhè shì-fǒu kěxíng, hái bùnéng xià jiélùn.
This is our internal affair which brooks no outside interference.	这是我国内政, 不允许任何外来干涉。 Zhè shì wǒguó nèizhèng, bù yǔnxǔ rènhé wàilái gānshè.
This is a cultural heritage handed down from ancient times.	这是古代传下来的文化遗产。 Zhè shì gǔdài chuán xiàlai de wénhuà yíchǎn.
The old master passed all his skills on to his apprentices.	老师傅把他的技术全传给徒弟了。 Lǎoshīfu bǎ tā de jìshù quán chuán gěi túdi le.
The news spread quickly. or The news soon got around.	消息很快传开了。 Xiāoxi hěn kuài chuán kāi le.
He's the one who let out the secret.	这个秘密是他传出去的。 Zhège mìmì shì tā chuán chū qù de.
Copper conducts electricity.	铜传电。 Tóng chuán diàn.
summon a witness	传证人chuán zhèngrén
Mind that your children don't catch the flu.	小心别让你孩子传上流感。 Xiǎoxīn bié ràng nǐ háizi chuán shàng liúgǎn.
(or haul) a trunk out from under the bed	把箱子从床底下拖出来 Bǎ xiāngzi cóng chuáng dǐxia tuō chūlai
mop the floor	拖地板tuō dìbǎn
Don't delay any more, or it'll be too late.	再拖就太天了。 Zài tuō jiù tài tiān le.
This work has been dragging on far too long.	这件工作拖得太久了。 Zhè jiàn gōngzuò tuō de tài jiǔ le.
contend for leadership	争领导权zhēng lǐngdǎoquán
What are you arguing about?	你们在争什么？ Nǐmen zài zhēng shénme？
It's about an hour's journey.	大约一小时的路程。dàyuē yī xiǎoshí de lùchéng.
The light is dim.	光很暗。guāng hěn àn.
The surface of this table is smooth.	这个桌子面儿很光。 Zhège zhuōzi miànr hěn guāng.
All his money is gone.	他的钱都光了。 Tā de qián dōu guāng le.
The ink's used up	墨水用光了。 Mò shuǐ yòng guāng le.
Don't walk around barefoot.	别光着脚走。 Bié guāng zhe jiǎo zǒu.
be stripped to the waist	光着膀子guāng zhe bǎngzi
She just smiled and said nothing.	她光笑不说话。 Tā guāng xiào bù shuōhuà.
The good points of the novel may be summarized as follows.	这部小说的优点概括起来有以下几方面。 Zhè bù xiǎoshuō de yōudiǎn gàikuò qǐlai yǒu yǐxià jǐ fāngmiàn.
to sum up	概括起来说 gàikuò qǐlai shuō
to put it briefly	概括地说 gàikuò de shuō
Please give your views in broad outline.	请把你的看法概括地讲一讲。 Qǐng bǎ nǐ de kànfǎ gàikuò de jiǎng yī jiǎng.
lose consciousness	失去知觉 shīqù zhījué
lose confidence	失去信心 shīqù xìnxīn
get out of hand; get out of control	失去控制 shīqù kòngzhì
be bereft of all hope	失去一切希望 shīqù yīqiè xīwàng
as a whole; on the whole; by and large	整个说来 zhěnggè shuōlái
The Constitution stipulates (or provides) that women enjoy exactly the same rights as men.	宪法规定妇女享有与男子完全相同的权利。 Xiànfǎ guīdìng fùnǚ xiǎngyǒu yǔ nánzǐ wánquán xiāngtóng de quánlì.
within the fixed time	在规定的时间内 zài guīdìng de shíjiān nèi
a set quota	规定的指标 guīdìng de zhǐbiāo
I estimate that it will take three months to finish the work.	我估计这项工作要三个月才能完成。 Wǒ gūjì zhè xiàng gōngzuò yào sān ge yuè cái néng wánchéng.
I reckon he will come.	我估计他会来。 Wǒ gūjì tā huì lái.
make a clearheaded appraisal of the present situation	清醒地估计当前的形势 Qīngxǐng de gūjì dāngqián de xíngshì
We must take this possibility into account.	这种可能性我们必须估计到。 Zhèzhǒng kěnéngxìng wǒmen bìxū gūjì dào.
with one's back to the sun	背着太阳坐bèi zhe tàiyáng zuò sit
turn one's face away	把脸背过去 bǎ liǎn bèi guòqu
talk behind sb.'s back	背着人说话 bèi zhe rén shuōhuà
have nothing to hide from anyone	没有什么背人的事 méiyǒu shénme bèi rén de shì
The child smoked behind his parents' backs.	这孩子背着父母抽烟。 Zhè háizi bèi zhe fùmǔ chōuyān.
It is an out-of-the-way place. or That place is off the beaten track.	那地方很背。 Nà dìfang hěn bèi.
She has all the time in the world.	她有的是时间。 Tā yǒudeshì shíjiān.
pat him on the shoulder	拍拍他的肩膀 pāi tā de jiānbǎng
pat one's clothes to get the dust off	拍掉身上的土 pāi diào shēnshang de tǔ
bounce a ball	拍球 pāi qiú
four beats in (or to ) a bar	一小节四拍 yī xiǎojié sì pāi
This novel has been made into a film.	这部小说已拍成电影了。 Zhè bù xiǎoshuō yǐ pāi chéng diànyǐng le.
mix things up	混在一起 hùn zài yīqǐ
They're two entirely different matters; don't mix them up.	这是两码事, 不要搞混了。 Zhè shì liǎng mǎ shì, bùyào gǎo hùn le.
can hardly make a living	连口饭都混不上 Lián kǒu fàn dōu hùn bù shàng
be quite familiar with them	同他们混得很熟 Tóng tāmen hùn de hěn shú
establish diplomatic relations	建立外交关系 jiànlì wàijiāo guānxi
take a message to him	给他递个口信 Gěi tā dì ge kǒuxìn
What's his role in this play?	他在这出戏里演哪个角儿？ Tā zài zhè chū xì lǐ yǎn nǎge jué r？
We should not judge things simply by their appearance; we must grasp their essence.	看事情不要只看现象, 要看本质。 Kàn shìqing bùyào zhǐ kàn xiànxiàng, yào kàn běnzhì.
This film has a strong appeal to the audience.	这部电影对观众很有吸引力。 Zhè bù diànyǐng duì guānzhòng hěn yǒu xīyǐn lì.
parties signatory to the agreement	签订协定的各方qiāndìng xiédìng de gè fāng the
Go to court and sue him.	到法院去告他。 Dào fǎyuàn qù gào tā.
Don't speak in such abstract terms.	不要这样抽象地谈问题。 Bù yào zhèyàng chōuxiàng de tán wèntí.
It's thundering.	打雷了。 Dǎ léi le.
That's a shrewd move.	这一着厉害。 Zhè yī zhāo lìhai.
He's at the end of his tether.	他没着儿了。 Tā méi zhāo r le.
That was really a brilliant stroke (or move, idea) of yours.	你这一着可真高。 Nǐ zhè yī zhāo kě zhēn gāo.
The two brothers look alike.	兄弟俩面貌相似。 Xiōng-dì liǎ miànmào xiāngsì.
hold a tray on one's palm	托着盘子 tuō zhe pánzi
Let's leave the matter to her.	这事就托给她吧。 Zhè shì jiù tuō gěi tā ba.
The two sides discussed a wide range of subjects.	双方会谈的内容十分广泛。 Shuāngfāng huìtán de nèiróng shífēn guǎngfàn.
gather students' opinions on teaching	征求学生对教学的意见 zhēngqiú xuésheng duì jiàoxué de yìjian
The rooms are not big but they're very cosy.	房间不大, 但很舒适。 Fángjiān bù dà, dàn hěn shūshì.
He hasn't been coming around much recently.	他最近不大来。 Tā zuìjìn bùdà lái.
I don't eat fish often. or I'm not too keen on fish.	我不大吃鱼。 Wǒ bùdà chī yú.
Your shoelace has come loose.	你的鞋带松了。 Nǐ de xiédài sōng le.
The rope is too slack.	绳子太松了。 Shéngzi tài sōng le.
loosen the screw a little bit	松一松螺丝 sōng yī sōng luósī
be better off	现在手头松些 xiànzài shǒutóu sōng xiē
He said it would snow, and sure enough it did.	他说要下雪, 果然就下了。 Tā shuō yào xiàxuě, guǒrán jiù xià le.
If that's really the way things are, there should be no difficulty.	事情果然是那样, 那就好办了。 Shìqing guǒrán shì nàyàng, nà jiù hǎo bàn le.
He wanted to hit me, but I dodged and he missed.	他要打我, 我一闪, 他没打着。 Tā yào dǎ wǒ, wǒ yī shǎn, tā méi dǎ zhe.
sprain one's back	闪了腰 shǎn le yāo
The light flashed and then went out.	灯一闪就灭了。 Dēng yī shǎn jiù miè le.
Do be careful!	千万要小心啊! qiānwàn yào xiǎoxīn a!
Train fares are rising again.	火车票又涨了。 Huǒchēpiào yòu zhǎng le.
the main trend in the world today	当前世界的主要倾向 dāngqián shìjiè de zhǔyào the current (or present) international situation qīngxiàng /当前的国际形势 dāngqián de guójì xíngshì
pick out the best tomatoes	把最好的西红柿拣出来 bǎ zuì hǎo de xīhóngshì jiǎn chūlai
draw a lesson (or moral) from sth. ; take warning from sth.	吸取教训 xīqǔ jiàoxun
He gave his son a lecture.	他教训了儿子一顿。 Tā jiàoxun le érzi yī dùn.
May everything turn out as you wish.	祝万事如意。 Zhù wànshì rúyì.
You can't expect everything to turn out as you wish.	万事很难如意。 Wàn shì hěn nán rúyì. This time he got exactly what he wanted.
Only by relying on the masses can you do your work well.	只有依靠群众, 才能做好工作。zhǐyǒu yīkào qúnzhòng, cái néng zuò hǎo gōngzuò.
This is the only path up the mountain.	要上山, 只有这一条路。 Yào shàngshān, zhǐyǒu zhè yī tiáo lù.
arrange the tables in an orderly way	把桌子摆齐 Bǎ zhuōzi bǎi qí
be evenly trimmed	剪得很齐 jiǎn de hěn qí
These two chopsticks are not of equal (or uniform) length.	这两根筷子长短不齐。 Zhè liǎng gēn kuàizi chángduǎn bù qí.
The water has risen to the level of the river banks.	水涨得齐了岸。 Shuǐ zhǎng de qí le àn.
draw a line along the edge	齐着边儿画一道线 qí zhe biānr huà yī dào xiàn
He has become even more reticent since then.	从此, 他变得更沉默了。 Cóngcǐ, tā biàn de gèng chénmò le.
After a moment's silence he went on.	他沉默了一会儿又继续说下去。 Tā chénmò le yīhuìr yòu jìxù shuō xiàqu.
I'm very grateful for your help.	很感激你给我的帮助。 Hěn gǎnjī nǐ gěi wǒ de bāngzhù.
These cultural relics are well preserved.	这批文物保存得很完好。 Zhè pī wénwù bǎocún de hěn wánhǎo.
ratify a treaty	批准条约 pīzhǔn tiáoyuē
The Party committee granted their request.	党委批准了他们的请求。 Dǎngwěi pīzhǔn le tāmen de qǐngqiú.
insert the plug in a socket; plug in	把插头插上 Bǎ chātóu chā shàng put one's hands in one's pockets
He talked on and on and nobody else could get a word in.	他说个没完, 别人半句话也插不进。 Tā shuō ge méi wán, biéren bàn jù huà yě chā bù jìn.
There were two red lanterns hanging over the door.	门前吊着两盏红灯。 Mén qián diào zhe liǎng zhǎn hóngdēng.
plait one's hair	编辫子biān biànzi
Put him in our group.	把他编在我们组吧。 Bǎ tā biān zài wǒmen zǔ ba.
edit a magazine; work in the editorial department of a magazine	编杂志 biān zázhì
write a play	编剧本biān jùběn
compose songs for children	编儿童歌曲biān értóng gēqǔ
He made the whole thing up.	这事儿是他编出来的。 Zhè shìr shì tā biān chūlai de.
walk upstairs with one's hand on the banisters	扶着栏杆上楼fú zhe lángān shànglóu
He's a rather careless fellow.	他这个人做事比较马虎。 Tā zhège rén zuò shì bǐjiào mǎhu.
This snow has come at the right time.	这场雪很及时。Zhè cháng xuě hěn jíshí.
Tonight there will be storm force winds. We must notify the fishermen without delay.	今晚有暴风, 要及时报告渔民。 Jīnwǎn yǒu bàofēng, yào jíshí bàogào yúmín.
build a socialism with Chinese characteristics	建设具有中国特色的社会主义 Jiànshè jùyǒu Zhōngguó tèsè de shèhuìzhǔyì
He gave the name of the chief culprit.	他供出了主犯的名字。 Tā gòng chū le zhǔfàn de míngzi.
No confession was forthcoming during the lengthy interrogation.	问了半天也问不出供来。 Wèn le bàn tiān yě wèn bù chū gòng lái.
You've mistaken my meaning.	你误会了我的意思。 Nǐ wùhuì le wǒ de yìsi. You must have misunderstood. or You must be mistaken. 你一定是搞误会了。 Nǐ yīdìng shì gǎo wùhuì le.
delimit a boundary	划界 huà jiè
determine class status	划成分 huà chéngfèn
be branded as a Rightist	划为右派 huà wèi yòupài
transfer money	划款 huà kuǎn
He assigned the experimental plot to that group.	他把试验田划给这个小组负责。 Tā bǎ shìyàntián huà gěi zhège xiǎozǔ fùzé.
enjoy public health services	享受公费医疗xiǎngshòu gōngfèi yīliáo
The more he thought the more confused he became.	他越想越糊涂。 Tā yuè xiǎng yuè hútu.
How careless of me to have left the letter at home.	我真糊涂, 把信忘在家里了。 Wǒ zhēn hútu, bǎ xìn wàng zài jiālǐ liǎo.
The truck bumped along the dirt road.	卡车在土路上颠簸着前进。 Kǎchē zài tǔlù shàng diānbǒ zhe qiánjìn.
As the wind grew stronger, the boat was tossed about by the waves.	风更大了, 船身颠簸起来。 Fēng gèng dà le, chuánshēn diānbǒ qǐlai.
I'll catch up with you no matter how fast you run.	凭你跑多快, 我也赶得上。píng nǐ pǎo duō kuài, wǒ yě gǎn de shàng.
pernicious malaria	恶性疟疾 èxìng nüèji
Let's leave the matter to her.	这事就托给她吧。 Zhè shì jiù tuō gěi tā ba. I'd like you to take something to him.
Don't just think of yourself.	你别只顾自己。 Nǐ bié zhǐ gù zìjǐ. You've got so many things to attend to. Can you manage all by yourself? 这么多事你一个人顾得过来吗？ Zhème duō shì nǐ yī ge rén gù de guòlai ma？
The doctor immediately attended to the emergency case without stopping for a meal.	医生顾不得吃饭就去抢救病人。 Yīshēng gù bude chīfàn jiù qù qiǎngjiù bìngrén.
Why are you in such a hurry?	你干吗这样急急忙忙的？ Nǐ gànmá zhèyàng jíjímángmáng de？
a durable pair of shoes	一双结实的鞋子 Yī shuāng jiēshi de xiézi
This is a very solid table.	这张桌子很结实。 Zhè zhāng zhuōzi hěn jiēshi.
Tie it fast.	拴结实点儿。 Shuān jiēshi diǎnr.
Paintbrush	油漆刷yóuqī shuā
brush shoes	刷鞋shuā xié
scrub the floor	刷地板 shuā dìbǎn
paste up posters	刷标语 shuā biāoyǔ
That team was not eliminated until the semifinals.	那个队直到半决赛才给刷下来。 Nà ge duì zhídào bànjuésài cái gěi shuā xiàlai.
My opinion is contrary to yours (or is just the opposite of yours).	我的意思跟你正相反。 Wǒ de yìsi gēn nǐ zhèng xiāngfǎn.
The result turned out contrary to our expectations.	结果与我们的愿望恰好相反。 Jiéguǒ yǔ wǒmen de yuànwàng qiàhǎo xiāngfǎn.
