sentenceId	thai	phonetic	english	level
﻿65-1.	ไม่ทันตั้งตัว   	mâi-tan dtâng-dtua	 (I) was caught off guard.	low-advanced
65-2.	คงต้องคุยกัน(เรื่อง...)    	kong dtɔ̂ng kui gan (rʉ̂ang…)	 (We) need to talk about it. / (We) need to talk about…	low-advanced
65-3.	มันถูกนำไปใช้กับ(โควิด-19)     	man tùuk nam-bpai chái gàp (koo- wít sìp-gâao)	 FORMAL - It can be used with (Covid-19). / It can be applied for use with (Covid-19).	low-advanced
65-4.	(เขาเป็นแบบนี้)ประจำเลย   	(kǎo bpen bɛ̀ɛp-níi) bprà-jam ləəi	 (He’s) always (like this).	low-advanced
65-5.	อยู่กับปัจจุบัน     	yùu-gàp bpàt-jù-ban	 LITERARY - live in the present / live in the moment / stay in the present	low-advanced
65-6.	ต้องจากโลกนี้ไป     	dtɔ̂ng jàak lôok níi bpai	 LITERARY - (We all) have to leave this world. / (We all) have to die (someday).	low-advanced
65-7.	…เป็นที่รู้จักกันดี(...)     	…bpen tîi-rúu-jàk gan dii(…)	 SEMI-FORMAL - … is well known (for/as)(…) / … is famous (for)(…)	low-advanced
65-8.	…ในเวลาต่อมา     	...nai wee-laa dtɔ̀ɔ-maa	 FORMAL - …subsequently / …later (on)	low-advanced
65-9.	(เขา)มีส่วนเกี่ยวข้อง(...)    	(kǎo) mii sùan-gìao-kɔ̂ng(...)	 SEMI-FORMAL - (He) is involved(…) / (He) was involved in (…)	low-advanced
65-10.	ไม่มีส่วนเกี่ยวข้อง     	mâi-mii sùan-gìao-kɔ̂ng	 SEMI-FORMAL - (I) had nothing to do with it. / (I) wasn’t involved.	low-advanced
65-11.	หลบไป  	RUDE   lòp bpai	 Get out of my way! / Move it! / Clear out!	low-advanced
65-12.	ตอนที่เกิดเหตุ...    	dtɔɔn-tiî gə̀ ət-hèet...	 When it happened… / When the incident occurred… / When the accident happened…	low-advanced
65-13.	อย่ามาทำเป็นเล่นตัว   	yàa maa tam-bpen lên-dtua	 Don’t play hard to get!	low-advanced
65-14.	ถ้าทุกอย่างเป็นไปตามแผน   	tâa túk-yàang bpen-bpai dtaam-pɛ̌ɛn	 If everything goes as planned…	low-advanced
65-15.	ยิ่งคุณทำแบบนี้(ฉันก็)ยิ่ง(เกลียดคุณ)    	yîng kun tam bɛ̀ɛp-níi (chǎn gɔ̂ɔ) yîng (glìat kun)	 The more you do that, the more (I hate you.).	low-advanced
