en	zh	zh-pinyin	zh-phon	jp	jp-rom	jp-phon	it	it-phon	es	es-phon	fr	fr-phon	en-phon	en-us-phon
hello	你好	nǐ hǎo	(nee-hao) 	こんにちは	konnichiwa	(kon-ni-chi-wa) 	buongiorno	(bwon-jor-noh) 	hola	(oh-lah) 	bonjour	(bon-jhoor) 	(hell-oh) 	(huh-loh) 
ice cream	冰淇淋	bīngqílín	(bing-tchee-lin) 	アイスクリーム	aisukuriimu	(ais-ku-ree-mu) 	gelato	(jeh-lah-toh) 	helado	(eh-lah-doh) 	glace	(glas) 	(aye-skreem) 	(eye-skreem) 
water	水	shuǐ	(shway) 	みず	mizu	(mi-zu) 	acqua	(a-kwa) 	agua	(a-gwa) 	eau	(oh) 	(wor-ter) 	(wah-tur) 
supermarket	超市	chāoshì	(chao-shue) 	スーパーマーケット	sūpāmāketto	(soo-pah-mah-ket-to) 	supermercato	(soo-pair-mair-kah-toh) 	supermercado	(soo-pair-mair-kah-doh) 	supermarché	(soo-pair-mar-shay) 	(soo-per-mar-ket) 	(soo-pur-mar-kit) 
cat	猫	māo	(mao) 	ねこ	neko	(ne-ko) 	gatto	(ga-toh) 	gato	(ga-toh) 	chat	(sha) 	(kat) 	(kat) 
bus	公共汽车	gōnggòng qìchē	(gong-gong chee-chuh) 	バス	basu	(ba-su) 	autobus	(ow-toh-boos) 	autobús	(ow-toh-boos) 	autobus	(o-toh-boos) 	(bus) 	(buss) 
dress	连衣裙	liányīqún	(leean-ee-tchewin) 	ワンピース	wanpiisu	(wan-pee-su) 	vestito	(ves-tee-toh) 	vestido	(ves-tee-doh) 	robe	(rob) 	(dress) 	(dress) 
dog	狗	gǒu	(go-oh) 	いぬ	inu	(i-nu) 	cane	(kah-neh) 	perro	(peh-roh) 	chien	(shee-uh) 	(dog) 	(dahg) 
banana	香蕉	xiāngjiāo	(sheung-jeeao) 	バナナ	banana	(ba-na-na) 	banana	(ba-nah-na) 	plátano	(pla-ta-noh) 	banane	(ba-nan) 	(ba-nah-ner) 	(buh-na-nuh) 
taxi	出租车	chūzū chē	(choo-zoo-chuh) 	タクシー	takushii	(tak-shee) 	taxi	(tak-see) 	taxi	(tak-see) 	taxi	(tak-see) 	(tak-see) 	(tak-see) 
t-shirt	T恤	T xù	(tee-shoo) 	ティーシャツ	tiishatsu	(tee-sha-tsu) 	maglietta	(mal-yeh-ta) 	camiseta	(ka-mee-seh-ta) 	t-shirt	(tee-shert) 	(tee-shert) 	(tee-shurt) 
fish	鱼	yú	(yue) 	さかな	sakana	(sa-ka-na) 	pesce	(peh-sheh) 	pescado	(pes-kah-doh) 	poisson	(pwa-son) 	(fish) 	(fish) 
