         /Barat. Menteri Luar Negeri   AS Antony Blinken mengatakan/
        /anaknya. ©Mohamed Nureldin   Abdallah/ Reuters  Merdeka.com -/
         /mengepung kamp pengungsian   Adi Wenfito dan Tsehay kemudian/
   Sekarang!/     "Kita Lihat Apakah   Amerika akan Menyelamatkan Kalian
          /Wijaya "Kita Lihat Apakah   Amerika akan Menyelamatkan Kalian/
       /.com - Beberapa hari setelah   Amerika Serikat mengumumkan sanksi/
      /berteriak, "Kita lihat apakah   Amerika akan menyelamatkan kalian/
   pernyataannya Rabu/      Presiden   Amerika Serikat Joe Biden dalam
      /Eritrea dan milisi dari etnis   Amhara. Sejak dimulainya konflik,/
        tentara Eritrea serta milisi   Amhara.              /pemerintah dan
          /tentara Eritrea dan milis   Amhara adalah "pembersihan etnis".
          /mengatakan, "Sampai kapan   Anda akan terus percaya omongan/
      /Barat. Menteri Luar Negeri AS   Antony Blinken mengatakan/
   Kalian Sekarang!/     "Kita Lihat   Apakah Amerika akan Menyelamatkan
    /: Pandasurya Wijaya "Kita Lihat   Apakah Amerika akan Menyelamatkan/
      /karena pertempuran di wilayah   Barat. Menteri Luar Negeri AS/
       /berlangsung selama 200 hari.   Barisan Pembebasan Rakyat Tigray (/
           // Reuters  Merdeka.com -   Beberapa hari setelah Amerika/
        Presiden Amerika Serikat Joe   Biden dalam pernyataannya Rabu/
    /. Menteri Luar Negeri AS Antony   Blinken mengatakan kekerasan yang/
     /, saksi mata mengatakan kepada   CNN, ratusan pemuda dikumpulkan/
     /identitasnya mengatakan kepada   CNN tentang bagaimana tentara/
     seorang saksi, seperti dilansir   CNN, Kamis (27/5).    /mereka," kata
     membawa pergi," kata dia kepada   CNN.                 /, memukuli dan
          /itu dan membantah laporan   CNN dengan mengatakan, "Sampai/
   Perdana Menteri Ethiopia/           CNN sudah menghubungi kantor
         /sebuah video yang diterima   CNN pada Selasa pagi, gambar yang/
   CNN pada Selasa pagi,/              Dalam sebuah video yang diterima
       /PBB Urusan pengungsi, UNHCR.   Dalam satu video tentara Ethiopia/
     /bagi para pejabat Ethiopia dan   Eritrea, saksi mata mengatakan/
     /bagaimana tentara Ethiopia dan   Eritrea menyerbu sedikitnya dua/
             berjam-jam oleh tentara   Eritrea dan Ethiopia.      /dipukuli
                  Menteri Penerangan   Eritrea Yemene Ghebremeskel/
         /Nasional Ethiopia, tentara   Eritrea dan milisi dari etnis/
