sentence	en	da	no	sv	is
1	I am in love	Jeg er forelsket	jeg er forelsket	Jag är kär	ég er ástfanginn
2	Don't worry	Det skal du ikke bekymre dig om	Du trenger ikke bekymre deg for det	Oroa dig inte	Þú þarft ekki að hafa áhyggjur af því
3	Have you met her yet?	Har du mødt hende?	Har du møtt henne?	Har du träffat henne ännu?	Hefur þú hitt hana?
4	I have no choice	Jeg har ikke noget valg	jeg har ikke noe valg	Jag har inget val	ég hef ekkert val
5	Sleep well	Sov godt	Sov godt	Sov gott	Sofðu vel
6	I promise	Jeg lover det	jeg lover	Jag lovar	ég lofa
7	Are you religious?	Er du religiøs?	Er du religiøs?	Är du religiös?	Ertu trúaður?
8	The crowds cheered	Mængden jublede	Publikum jublet	Massorna hurrade	Fólkið fagnaði
9	How long is the flight?	Hvor lang tid tager flyveturen?	Hvor lang tid tar flyturen?	Hur lång är flygresan?	Hvað tekur flugið langan tíma?
10	Have a safe journey home	Kom godt hjem	Kom deg trygt hjem	Ha en säker resa hem	Komdu heil heim
11	Help yourself	Værsgo og tag	Gå videre og ta	Ta för dig	Farðu á undan og taktu
12	I will consider it	Jeg vil overveje det	Jeg skal vurdere det	Jag kommer att överväga det	Ég skal íhuga það
13	I have two sisters	Jeg har to søstre	jeg har to søstre	Jag har två systrar	ég á tvær systur
14	Have you arrived?	Er du ankommet?	har du kommet	Har du anlänt?	ertu kominn
15	How do you say it in [language]?	Hvordan siger man det på dansk?	Hvordan sier du det på norsk?	Hur säger man det på [språk]?	Hvernig segirðu það á dönsku?
16	It is too late	Det er for sent	Det er for sent	Det är för sent	Það er of seint
17	Good night	Godnat	God natt	Godnatt	Góða nótt
18	I am forgetful	Jeg er glemsom	Jeg er glemsk	Jag är glömsk	Ég er gleyminn
19	Where are you flying to?	Hvor flyver du hen?	Hvor flyr du til?	Vart flyger du till?	Hvert ertu að fljúga?
20	Turn off the light	Sluk lyset	Slå av lyset	Släck ljuset	Slökktu á ljósinu
21	I'm a little out of practice	Jeg er lidt ude af træning	Jeg er litt tom for trening	Jag är lite ringrostig	Ég er svolítið æfing
22	They overdid it	De gik over gevind	De gikk over bord	De gick för långt	Þeir fóru yfir borð
23	Please put it back	Vær venlig og læg det tilbage	Vennligst sett den tilbake	Lägg tillbaka den	Vinsamlegast settu það aftur
24	I work in a shop	Jeg arbejder i en butik	Jeg jobber i en butikk	Jag arbetar i en butik	Ég vinn í verslun
25	My feelings are intense	Jeg har stærke følelser	Jeg har sterke følelser	Mina känslor är intensiva	Ég hef sterkar tilfinningar
26	What are you thinking about?	Hvad tænker du på?	Hva tenker du på?	Vad tänker du på?	Hvað ertu að hugsa?
27	It's freezing cold	Det er hundekoldt	Det er bitende kaldt	Det är iskallt	Það er skítkalt
28	Have you ever been to Italy?	Har du nogensinde været i Italien?	Har du noen gang vært i Italia?	Har du någonsin varit i Italien?	Hefur þú einhvern tíma komið til Ítalíu?
29	How long will you be staying for?	Hvor længe skal du være her?	Hvor lenge må du være her?	Hur länge kommer du att stanna?	Hversu lengi þarftu að vera hér?
30	Sorry, I don't have a pen	Beklager, jeg har ikke nogen kuglepen	Beklager, jeg har ingen penn	Tyvärr, jag har inte en penna	Því miður á ég engan penna
31	Everyone knows it	Alle ved det	Alle vet det	Alla vet det	Það vita það allir
32	Stay focused	Hold fokus	Behold fokus	Håll dig fokuserad	Haltu þér einbeittri
33	Call an ambulance!	Ring efter en ambulance!	Ring en ambulanse!	Ring en ambulans!	Hringdu á sjúkrabíl!
34	It takes 2 hours by car	Det tager 2 timer i bil	Det tar 2 timer med bil	Det tar 2 timmar med bil	Það tekur 2 tíma með bíl
