term	description
请排队挂号。Qǐng páiduì guàhào.	Please queue (or line) up to register.
你挂的是几号？Nǐ guà de shì jǐ hào？	What's your registration number?
泥墙 nìqiáng	cover the crevices in a wall with mud or plaster
把窗玻璃用油灰泥上 bǎ chuāngbōli yòng yóuhuī nì shàng	fix a windowpane with putty
撒农药 sǎ nóngyào	dust crops with an insecticide
撒种 sǎ zhǒng	sow seeds
她把撒在路上的麦粒儿扫到一块儿。 Tā bǎ sǎ zài lùshang de màilìr sǎo dào yīkuàir.	She swept up the grains of wheat that had spilled on the ground.
种玉米的那六亩地 zhòng yùmǐ de nà liù mǔ dì	the six mu of land sown to maize
种一块试验田 zhòng yī kuài shìyàntián	cultivate an experimental plot
过去这里的水田多数只 种一季, 现在全部 种两季。Guòqu zhèlǐ de shuǐtián duōshù zhǐ zhòng yī jì, xiànzài quánbù zhòng liǎng jì.	Most paddy fields here used to yield only one crop a year, but now they all yield two crops.
初步方案 chūbù fāng'àn	a tentative programme
初步设想 chūbù shèxiǎng	a tentative idea
初步估计 chūbù gūjì	preliminary estimates
豆子泡涨了。 Dòuzi pào zhàng le	The beans swelled up after being soaked.
上个月他钱花涨了。 Shànggeyuè tā qián huā zhàng le	Last month he couldn't make ends meet.
把布一量, 涨出了半尺。 Bǎ bù yī liàng, zhàng chū le bàn chǐ.	When the cloth was measured, it was found to be half a chi longer than expected.
从他的作为可以看出他的态度。 Cóng tā de zuòwéi kěyǐ kànchū tā de tàidu.	From his deeds we can discern his attitude.
这位新经理很有作为。 Zhè wèi xīn jīnglǐ hěn yǒu zuòwéi.	The new manager is a dynamic and able man.
把他作为靠山 Bǎ tā zuòwéi kào shān	look on him as a prop
把那个作为借口 bǎ nàge zuòwéi jièkǒu	use it as an excuse
作为你的朋友, 我得劝劝你。 zuòwéi nǐ de péngyou, wǒ děi quàn quàn nǐ.	As your friend, I have to give you some advice.
你作为领导, 就要以身作则。 Nǐ zuòwéi lǐngdǎo, jiù yào yǐshēnzuòzé.	As a leader, you should set a good example to the others.
孩子一下子扑到他妈的怀里。 Háizi yīxiàzi pū dào tāmā de huáilǐ.	The child threw himself into his mother's arms.
他一下扑在对手身上。 Tā yīxià pū zài duìshǒu shēnshang.	He threw himself at his adversary.
孩子浑身都扑上了爽身粉。 Háizi húnshēn dōu pū shàng le shuǎngshēnfěn.	The child was dabbed all over with talcum.
别嚷了, 人家都睡了。 Bié rǎng le, rénjia dōu shuì le.	Stop yelling, people are sleeping.
孩子们在院子里嚷些什么？ Háizi men zài yuànzi lǐ rǎng xiē shénme？	What are the children yelling about in the courtyard?
父亲吩咐孩子好生照看小马驹。 Fùqin fēn·fù háizi hǎoshēng zhàokàn xiǎo mǎ jū.	The father told his son to take good care of the foal.
我们该做什么, 请您吩咐。 Wǒmen gāi zuò shénme, qǐng nín fēn·fù.	Please tell us what we should do.
您有什么吩咐? Nín yǒu shénme fēn·fù？	Have you any instructions to give?
他几乎一夜没睡。 Tā jīhū yī yè méi shuì.	He lay awake almost the whole night.
我在物理学方面的知识, 几乎等于零。 Wǒ zài wùlǐxué fāngmiàn de zhīshi, jīhū děngyú líng.	My knowledge of physics is practically nil.
你比我几乎高了一头。 Nǐ bǐ wǒ jīhū gāo le yī tóu.	You're nearly a head taller than I.
故乡变化太大了, 我几乎认不出来了。 Gùxiāng biànhuà tài dà le, wǒ jīhū rèn bù chūlai le.	My home town had changed so much that I could hardly recognize it.
不是你提醒我, 我几乎忘了。 Bù shì nǐ tíxǐng wǒ, wǒ jīhū wàng le.	It would have slipped my mind if you hadn't reminded me of it.
屋子这么一布置, 显得宽敞多了。 Wūzi zhème yī bùzhì, xiǎnde kuānchang duō le.	Arranged the way it is, the room looks much more spacious.
这布掉色吗？ Zhè bù diào shǎi ma？	Will this cloth fade?
庄严隆重的场面 zhuāngyán lóngzhòng de chǎngmiàn	a solemn, grand occasion
战胜自然灾害 zhànshèng zìrán zāihài	conquer natural disasters
甲队战胜乙队。 Jiǎ duì zhànshèng yǐ duì.	Team A beat Team B.
打倒帝国主义! dǎdǎo dìguózhǔyì!	Down with imperialism!
既然如此 jìrán rúcǐ	since it is so; such being the case; under these circumstances
既然事前提醒过他们, 他们就没什么可埋怨的。 jìrán shìqián tíxǐng guò tāmen, tāmen jiù méi shénme kě mányuàn de.	Since they had a fair warning, they have no reason to complain.
既然你没准备好, 我们只能先走了。 jìrán nǐ méi zhǔnbèi hǎo, wǒmen zhǐnéng xiān zǒu le.	As you are not ready, we must go without you.
吾日三省吾身。(《论语》) wú rì sān xǐng wúshēn.	(《Lúnyǔ》) I daily examine myself on three points.
拿称称称 ná chèng chēng chēng	weigh it in a balance (or on the scales)
响应党的号召 xiǎngyìng dǎng de hàozhào	respond to (or answer) the Party's call
他们一提出倡议, 我们就全力响应。 Tāmen yī tíchū chàngyì, wǒmen jiù quánlì xiǎngyìng.	As soon as they put forward the proposal, we responded with full support.
构成鲜明的对比 gòuchéng xiānmíng de duìbǐ	form a sharp contrast
如果你把马克思和黑格尔的著作对比一下, 你就会发现有很大的差别。 Rúguǒ nǐ bǎ Mǎkèsī hé hēi gé ěr de zhùzuò duìbǐ yīxià, nǐ jiù huì fāxiàn yǒu hěn dà de chābié.	If you compare Marx's work with Hegel's you'll find many differences.
双方人数对比是一对四。 Shuāngfāng rénshù duìbǐ shì yī duì sì.	The ratio between the two sides (or parties) is one to four.
雨住了。 Yǔ zhù le.	The rain has stopped.
等风住了再走。 Děng fēng zhù le zài zǒu.	Don't go until the wind drops.
