Category	English	Vietnamese	Nôm	Mandarin	Cantonese
Preposition	about	về	𧗱	𧗱	𧗱
Preposition	above	trên đây, bên trên	𨕭低, 邊𨕭	𨕭 dī ,   biān 𨕭	𨕭 dāi ,   bīn 𨕭
Preposition	according to	theo	遶	rào	遶
Preposition	across ngang	qua	戈	gē	gwō
Preposition	after	sau khi	𡢐欺	𡢐 qī	𡢐 hēi
Preposition	against	chống lại	𢶢吏	𢶢 lì	𢶢 lei
Preposition	among	trong số	中数	zhōngshù	zūngsôu
Preposition	around	xung quanh	冲𪞀	chōng 𪞀	cūng 𪞀
Preposition	as	như	茹	rú	jyù
Preposition	as far as	xa như…	賖茹	賖 rú	賖 jyù
Preposition	as well as	cũng như	拱茹	gǒngrú	gúngjyù
Preposition	at	tại, ở	在 於	zài   yú	zoi   jyū
Preposition	because of	vì	為	wéi	wài
Preposition	before	trước khi	𠓀欺	𠓀 qī	𠓀 hēi
Preposition	behind	sau	𡢐	𡢐	𡢐
Preposition	below	dưới đây	𠁑低	𠁑 dī	𠁑 dāi
Preposition	beneath	bên dưới	邊𠁑	biān 𠁑	bīn 𠁑
Preposition	beside	bên cạnh	邊兢	biānjīng	bīngīng
Preposition	between	giữa	𡨌	𡨌	𡨌
Preposition	beyond	ngoài	外	wài	ngoi
Preposition	but	nhưng	仍	réng	jìng
Preposition	by	bởi	𤳄	𤳄	𤳄
Preposition	close to	gần	𧵆	𧵆	𧵆
Preposition	despite	mặc dù	默𠶢	mò 𠶢	mak 𠶢
Preposition	down	xuống	𨑜	𨑜	𨑜
Preposition	due to	do	由	yóu	jàu
Preposition	during	trong khi	中欺	zhōng qī	zūng hēi
Preposition	except	ngoại trừ	外儲	wàichǔ	ngoicyǔ
Preposition	except for	trừ	儲	chǔ	cyǔ
Preposition	far from	xa	賖	賖	賖
Preposition	for	cho	朱	zhū	zyū
Preposition	from	từ	自	zì	zi
Preposition	in	trong	中	zhōng	zūng
Preposition	in addition to	ngoài ra	外𦋦	wài 𦋦	ngoi 𦋦
Preposition	in front of	trước mặt	𠓀𩈘	𠓀 𩈘	𠓀 𩈘
Preposition	in spite of	mặc dù	默𠶢	mò 𠶢	mak 𠶢
Preposition	inside	bên trong	邊中	biānzhōng	bīnzūng
Preposition	inside of	bên trong	邊中	biānzhōng	bīnzūng
Preposition	instead of	thay vì	𠊝為	𠊝 wéi	𠊝 wài
Preposition	into	vào trong	𠓨中	𠓨 zhōng	𠓨 zūng
Preposition	near	gần	𧵆	𧵆	𧵆
Preposition	near to	gần	𧵆	𧵆	𧵆
Preposition	next	tiếp theo	接遶	jiē rào	zîp 遶
Preposition	next to	bên cạnh	邊兢	biānjīng	bīngīng
Preposition	of	của	𧵑	𧵑	𧵑
Preposition	on	trên	𨕭	𨕭	𨕭
Preposition	on behalf of	thay mặt cho	𠊝𩈘朱	𠊝 𩈘 zhū	𠊝 𩈘 zyū
Preposition	on top of	trên đầu trang của, trên mặt	𨕭頭妝𧵑	𨕭 tóuzhuāng 𧵑	𨕭 tàuzōng 𧵑
Preposition	opposite	đối diện	對面	duìmiàn	dêoimin
Preposition	out	ra	𦋦	𦋦	𦋦
Preposition	outside	bên ngoài	邊外	biān wài	bīn ngoi
Preposition	outside of	bên ngoài	邊外	biān wài	bīn ngoi
Preposition	over	trên	𨕭	𨕭	𨕭
Preposition	per	mỗi	每	měi	mǔi
Preposition	plus	thêm	添	tiān	tīm
Preposition	prior to	trước khi	𠓀欺	𠓀 qī	𠓀 hēi
Preposition	round	tròn	𡈺	𡈺	𡈺
Preposition	since	kể từ	仉自	zhǎng zì	zóeng zi
Preposition	than	hơn	欣	xīn	jān
Preposition	through	thông qua	通過	tōngguò	tūnggwô
Preposition	till	đến	𦤾	𦤾	𦤾
Preposition	to	đến	𦤾	𦤾	𦤾
Preposition	toward	về phía	𧗱𪰂	𧗱 𪰂	𧗱 𪰂
Preposition	under	bên dưoi	邊dươi	biān d ư ơ i	bīn d ư ơ i
Preposition	unlike	không giống như	空𢶢茹	kōng 𢶢 rú	hūng 𢶢 jyù
Preposition	until cho	đến khi	𦤾欺	𦤾 qī	𦤾 hēi
Preposition	up	lên	𨕭	𨕭	𨕭
Preposition	via	thông qua	通過	tōngguò	tūnggwô
Preposition	with	với	潙	潙	潙
Preposition	within	trong vòng	中𠺯	zhōng 𠺯	zūng 𠺯
Preposition	without	mà không cần	麻空勤	má kōngqín	màa hūngkàn
Pronoun	I	tôi/tớ/tao	倅/嗉/傮	cuì / sù / zāo	倅 / sôu / 傮
Pronoun	you (sg)	bạn/cậu/mày	伴/舅/𠋥	bàn / jiù / 𠋥	bun / kǎu / 𠋥
Pronoun	he	anh ấy/cô ấy/nó	偀𧘇/姑𧘇/奴	偀 𧘇 / gū 𧘇 / nú	偀 𧘇 / gū 𧘇 / nòu
Pronoun	she anh	ấy/cô ấy/nó	𧘇/姑𧘇/奴	𧘇 / gū 𧘇 / nú	𧘇 / gū 𧘇 / nòu
Pronoun	we	chúng tôi, chúng ta, ta	眾倅/眾些	zhòngcuì / zhòngxiē	zûng倅 / zûngsē
Pronoun	you (pl)	các bạn/các cậu/chúng mày	各伴/各舅/各𠋥	gèbàn / gèjiù / gè 𠋥	gôkbun / gôkkǎu / gôk 𠋥
Pronoun	they	họ/chúng	户/眾	hù / zhòng	wu / zûng
Interrogative	how	thế nào, làm sao	替芇「鬧」	tì 芇 「 nào 」	tâi 芇 「 naau 」
Interrogative	what	cái gì	丐夷	gàiyí	kôijì
Interrogative	who	ai	埃	āi	āai
Interrogative	why	tại sao	在牢	zài láo	zoi lòu
Interrogative	how many/much	bao nhiêu	包𡗉	bāo 𡗉	bāau 𡗉
Interrogative	how long	bao lâu	包僂	bāolóu	bāaulàu
Interrogative	how often	bao lâu một lần	包偻𠬠吝	bāolóu 𠬠 lìn	bāaulàu 𠬠 leon
Interrogative	which	nào	鬧	nào	naau
Interrogative	when	khi nào	欺鬧	qīnào	hēinaau
Interrogative	when (it happened)	khi	欺	qī	hēi
Interrogative	where	ở đâu	於兜	yú dōu	jyū dāu
Adjective	a few	một vài	𠬠𠄽	𠬠 𠄽	𠬠 𠄽
Adjective	bad	xấu	醜	chǒu	cáu
Adjective	big	to	𡚢	𡚢	𡚢
Adjective	bitter	đắng	凳	dèng	dâng
Adjective	clean	sạch	瀝【沚】	lì 【 zhǐ 】	lik 【 zí 】
Adjective	correct	chính xác	正𠳗	zhèng 𠳗	zîng 𠳗
Adjective	dark	bóng tối	𣈖對	𣈖 duì	𣈖 dêoi
Adjective	deep	sâu	漊	lóu	làu
Adjective	difficult	khó khăn	𧁷巾	𧁷 jīn	𧁷 gān
Adjective	dirty	dơ bẩn	汿𪷪	汿 𪷪	汿 𪷪
Adjective	dry	khô	骷	kū	fū
Adjective	easy	dễ dàng	易楊	yì yáng	ji jòeng
Adjective	empty	trống trải	𥧪戴「豸」	𥧪 dài 「 zhì 」	𥧪 dâai 「 zi 」
Adjective	expensive	đắt tiền	坦錢	tǎnqián	táancìn
Adjective	fast	nhanh	𪬭	𪬭	𪬭
Adjective	few	vài	𠄽	𠄽	𠄽
Adjective	foreign	nước ngoài	渃外	渃 wài	渃 ngoi
Adjective	fresh	tươi	鮮	xiān	sīn
Adjective	full	đầy đủ	𪞅度	𪞅 dù	𪞅 dou
Adjective	good	tốt	卒	zú	zēot
Adjective	hard	cứng	亙	gèn	gáng
Adjective	heavy	nặng	𥘀	𥘀	𥘀
Adjective	inexpensive	không đắc	空鍀	kōng dé	hūng 鍀
Adjective	light	ánh sáng	映𤎜	yìng 𤎜	jíng 𤎜
Adjective	little	ít	𠃣	𠃣	𠃣
