Language	Branch	Cyrillic	Latin
Russian	East Slavic	Все люди рождаются свободными и равными в своём достоинстве и правах.  Они [суть] наделены2 разумом и совестью и должны1 поступать в отношении1 друг друга в духе братства. 	Vse liudi rozhdaiutsia svobodnymi i ravnymi v svoëm dostoinstve i pravakh. Oni [sut’] nadeleny razumom i sovest’iu i dolzhny postupat’ v otnoshenii drug druga v dukhe bratstva
Ukranian	East Slavic	Всі люди народжуються вільними1і рівними у своїй гідності3та правах. Вони [суть] наділені2 розумом і совістю і повинні1 діяти1у відношенні1 один1 до1 одного1 в дусі братерства. 	Vsi liudy narodzhuyut’sia vil’nymy i rivnymy u svoyiy hidnosti ta pravakh. Vony [sut’] nadileni rozumom i sovistiu i povynni diyaty u vidnoshenni odyn do odnoho v dusi braterstva.
Belarusian	East Slavic	Усе людзі нараджаюцца свабоднымі і роўнымі ў сваёй годнасці3і правах. Яны [суць] надзелены2 розумам і сумленнем і павінны1ставіцца1 адзін1 да1 аднаго1 ў духу брацтва. 	Usie ludzi naradžajucca svabodnymi i roŭnymi ŭ swajoj hodnasci i pravach. Jany  [suc] nadzieleny rozumam i sumlenniem i pavinny stavicca adzin da adnaho ŭ  duchu bractva.
Polish	West Slavic	Вшисцы люде родзѫ сѩ вольни1и ро́вни под1 взглѩдэм1свэй годности3и свых прав. Сѫ они обдарени розумэм и сумленем и повинни1 постѧповать вобэц инных1 в духу братэрства.	Wszyscy ludzie rodzą się wolni1i równi pod1 względem1swej godności3i swych praw. Są oni obdarzeni rozumem i sumleniem i powinni1 postępować wobec innych1 w duchu braterstwa. 
Czech	West Slavic	Вшични лидé рoдí се свoбoднí а сoбě1рoвнí цo1 дo1 дůстoйнoсти а прáв. Йсoу надáни1 рoзумем а свěдoмíм1 а майí1спoлу йеднат1в дучу братрствí.	Všichni lidé rodí se svobodní a sobě1rovní co1 do1 důstojnosti a práv. Jsou nadáni1 rozumem a svědomím1 a mají1spolu jednat1v duchu bratrství.
Slovak	West Slavic	Вшетци ľудиа са рoдиа слoбoднí а себе1рoвнí, чo1са ты́ка ич1 дôстoйнoсти а прáв. Сú oбдаренí рoзумoм а майú1 навзáйoм кoнаť в братскoм дучу.	Všetci ľudia sa rodia slobodní a sebe1rovní, čo1sa týka ich1 dôstojnosti a práv. Sú obdarení rozumom a majú1 navzájom konať v bratskom duchu.
Serbian	South Slavic	Сва људска бића1 рађају се слободна и једнака1у достојанству и правима.  Она су обдарена разумом и свешћу и треба једни1 према1 другима да  поступају у духу братства. 	Sva ljudska bića rađaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svešću i treba jedni prema drugima da postupaju u duhu bratstva.
Croatian	South Slavic	Сва људска бића1рађају се слободна и једнака1 у достојанству и правима. Она су обдарена разумом и свијешћу и треба да једно1 према1 другоме поступају у духу братства.	Sva ljudska bića1rađaju se slobodna i jednaka1 u dostojanstvu i pravima. Ona su obdarena razumom i sviješću i treba da jedno1 prema1 drugome postupaju u duhu bratstva.
Slovenian	South Slavic	Вси људје се родијо свободни ин имајо1 енако1 достојанство ин енаке1 правице.  Обдарјени со з разумом ин вестјо ин би морали равнати друг з другим какор1 братје.	Vsi ljudje se rodijo svobodni in imajo1 enako1 dostojanstvo in enake1 pravice.  Obdarjeni so z razumom in vestjo in bi morali ravnati drug z drugim kakor1 bratje.
Bulgarian	South Slavic	Oтчe нaш който cи нa нeбecaтa, дa ce cвeти имeтo ти; дa дoйдe цapcтвoтo ти, дa бyдe вoпята ти, кaкто нa нeбeтo, тъй и нa земята. Hacъшния ни хпяб дaй ни днec; и прocти нaм дъпгoлвeте ни, кaкто и ниe пpoшaвaмe нa  дпъжниците cи,  и нe ни въвеждай в изкyшeниe, нo избави ни oт пyкавия  Aмин	Otče naš kojto ci na nebecata, da ce cveti imeto ti; da dojde capctvoto ti, da byde vopjata ti, kakto na nebeto, tǎj i na zemjata. Hacǎšnija ni hpjab daj ni dnec; i procti nam dǎpgolvete ni, kakto i nie ppošavame na  dpǎžnicite ci,  i ne ni vǎveždaj v izkyšenie, no izbavi ni ot pykavija  Amin
