no.	category	english	arabic	arabic-translit	hebrew	hebrew-niqud	hebrew-ipa	hebrew-iw-translit
1	Animal	dog	الكلب	alkalb	כלב	כָּלָב	Kaːˈlaːv	klb
2	Animal	cat	قط	qut	חתול	חָתוּל	χaːˈtuːl	ḥtwl
3	Animal	fish	سمك	smak	דג	דָג	ˈdaːg	dg
4	Animal	bird	طائر	tayir	ציפור	צִפֹּוֹר	tsippoːˈvːoːʁ	ṣypwr
5	Animal	cow	بقرة	baqara	פרה	פָּרָה	paːˈʁaːh	prh
6	Animal	sheep	خروف	khuruf	כבשים	כְבָשִׂיָם	χevaːsiˈjaːm	kbšym
7	Animal	goat	ماعز	maeiz	עיזים	עִזִים	ʔiˈziːm	ʿyzym
8	Animal	pig	خنزير	khinzir	חזיר	חֲזִיר	χaˈziːʁ	ḥzyr
9	Animal	mouse	فأر	far	עכבר	עַכְבָּר	ʔaχˈbaːʁ	ʿkbr
10	Animal	rat	فأر	far	עכברוש	עַכְבּרוֹש	ʔaχbˈʁoːʃ	ʿkbrwš
11	Animal	horse	حصان	hisan	סוס	סוֹּס	ˈsuːs	sws
12	Animal	wing	جناح	junah	אגף	אַגַף	ʔaˈgaf	ʾgp
13	Animal	animal	حيوان	hayawan	בעל║חיים	בַּעַל║חַיִיִם	ˈbaʔal║χajiˈjim	bʿl ḥyym
14	Transportation	train	قطار	qitar	רכבת	רַכָּבֶת	ʁakˈkaːvet	rkbt
15	Transportation	aeroplane	طائرة	tayira	מטוס	מָטוֹס	maːˈtoːs	mṭws
16	Transportation	car	سيارة	sayara	אוטו	אוֹטוֹ	ʔoːˈtoː	ʾwṭw
17	Transportation	truck	شاحنة	shahina	משאית	מַשְאִית	maʃˈʔiːt	mšʾyt
18	Transportation	bicycle	دراجة	diraja	אופניים	אוֹפְנִיִיִם	ʔoːfenijiˈjim	ʾwpnyym
19	Transportation	motorcycle	دراجة نارية	dirajat naria	אופנוע	אוֹפַּנוֹעַ	ʔoːppaˈnoːaʔ	ʾwpnwʿ
20	Transportation	bus	حافلة	hafila	אוטובוס	אוֹטוֹבּוֹס	ʔoːtoːbˈboːs	ʾwṭwbws
21	Transportation	boat	قارب	qarib	סירה	סִיָרָה	sijaːˈʁaːh	syrh
22	Transportation	ship	سفينة	safina	ספינה	סְפִּיָנָה	sepijaːˈnaːh	spynh
