initial-north	initial-south	Word-Final_Southern	Word-Final_Northern	explanation
/ ɓ / 				(None)
/ k / 			/ k̚ / 	⟨k⟩ is used instead when preceding ⟨i y e ê⟩. K is also used before U in the Vietnamese city Pleiku . ⟨qu⟩ is used instead of ⟨co cu⟩ if a /w/ on-glide exists. Realized as [ k ] in word-final position following rounded vowels ⟨u ô o⟩.
/ tɕ / 	/ c / 	/ t̚ / 	/ʲk/ 	Multiple phonemic analyses of final ⟨ch⟩ have been proposed ( main article ).
/ z / 	/ j / 			In Middle Vietnamese , ⟨d⟩ represented / ð / .  ⟨d⟩ was used to write native Vietnamese words and ⟨gi⟩ was used to write words of Chinese origin.
/ ɗ / 				(None)
/ ɣ / 				Spelling used ⟨gh⟩ instead of ⟨g⟩ before ⟨i e ê⟩, seemingly to follow the Italian convention . ⟨g⟩ is not allowed in these environments.
/ z / 	/ j / 			In Middle Vietnamese, ⟨gi⟩ represented / ʝ / . The distinction between ⟨d⟩ and ⟨gi⟩ is now purely etymological (and is the only one) in most modern dialects. Realized as [ʒ] in Northern spelling pronunciation. Spelled ⟨g⟩ before another ⟨i⟩. [a] 
/ h / 				(None)
/ k / 				Spelling used instead of ⟨c⟩ before ⟨i y e ê⟩ to follow the European tradition . ⟨c⟩ is not allowed in these environments.
/ x / 				Spelling used instead of ⟨c⟩ before ⟨i y e ê⟩ to follow the European tradition . ⟨c⟩ is not allowed in these environments.
/ l / 				(None)
/ m / 			/ m / 	(None)
/ n / 		/ ŋ / 	/ n / 	In Southern Vietnamese, word-final ⟨n⟩ is realized as [ ŋ ] if not following ⟨i ê⟩.
/ ŋ / 			/ ŋ / 	Realized as [ŋ͡m] in word-final position following rounded vowels ⟨u ô o⟩.
				Spelling used instead of ⟨c⟩ before ⟨i y e ê⟩ to follow the European tradition . ⟨c⟩ is not allowed in these environments.
/ ɲ / 		/ n / 	/ ʲŋ /	Multiple phonemic analyses of final ⟨nh⟩ have been proposed ( main article ).
			/ p / 	Only occurs initially in loanwords. Some Vietnamese pronounce it as a "b" sound instead (as in Arabic ).
/ f / 				In Middle Vietnamese, ⟨ph⟩ was pronounced [ pʰ ] 
/ kʷ / 				Spelling used instead of ⟨c⟩ before ⟨i y e ê⟩ to follow the European tradition . ⟨c⟩ is not allowed in these environments.
/ z / 	/ r / 			Spelling used instead of ⟨c⟩ before ⟨i y e ê⟩ to follow the European tradition . ⟨c⟩ is not allowed in these environments.
/ s / 	/ ʂ / 			Spelling used instead of ⟨c⟩ before ⟨i y e ê⟩ to follow the European tradition . ⟨c⟩ is not allowed in these environments.
/ t / 		/ k / 	/ t̚ / 	In Southern Vietnamese, word-final ⟨t⟩ is realized as [ k ] if not following ⟨i ê⟩.
/ tʰ / 				(None)
/ tɕ / 	/ ʈ / 			In Southern Vietnamese, word-final ⟨n⟩ is realized as [ ŋ ] if not following ⟨i ê⟩.
/ v / 				Realized as [ŋ͡m] in word-final position following rounded vowels ⟨u ô o⟩.
/ s / 				Multiple phonemic analyses of final ⟨nh⟩ have been proposed ( main article ).
