description,term
ministries and commissions directly under the State Council,国务院部委
increase revenue and cut government expenditure 4,增收节支
"""Oppose the 'Independence of Taiwan'""","反对""台独"""
"""All countries, big or small, should be equal.""",国家不分大小，应该一律平等
"""The One-China Principle is the foundation and prerequisite for peaceful reunification""",一个中国的原则是和平统一的基础
"""To develop relations of peace and friendship, equality and mutual benefit, and prolonged stability""",发展和平友好、平等互利、长期稳定的关系
"""Wish prosperity to ... and well-being to its people""",祝（某国）国家繁荣人民幸福
ping-pong diplomacy,乒乓外交
shuttle diplomacy,穿梭外交
17th National Congress of Communist Party of China (17th NCCPC),中国共产党第十七次全国代表大会
200-nautical-mile maritime rights,二百海里海洋权
a defeated country,战败国
Abbasid dynasty,阿拔斯王朝
"ABC war: a general term for war involving weapons of mass destructions (WMD), especially atomic (nuclear), biological, and chemical weapons. See weapons of mass destruction (WMD).",ABC戰爭
absence voting,缺席投票
absolute gain,绝对收益
absolute government / absolutism,专制政府/绝对专制主义
accelerate economic restructuring,加快经济结构调整
"accidental war: in the modern age, the unintentional launching of a nuclear attack because of a mistake or miscalculation.",偶然的戰爭
accredited to ...,向...派遣的
act,法令
"""Adhere to the ideological guideline of emancipating the mind, seeking truth from facts, and upholds the spirit of advancing with time.""",坚持解放思想、实事求是的思想路线，弘扬与时俱进的精神
adjudication,审判
administration,行政
administrative board,政委员
administrative court,行政法院
administrative tribunal,行政法庭
advance with the times 4,与时俱进
advanced industrial nations,发达工业国家
advice and consent,咨询和同意
adviser,顾问
affirmative action Giving preferential treatment to a socially or economically disadvantaged group in com pensation for opportunities denied by past discrimination.,"鼓励性行动,積極行動Jījí xíngdòng"
Age of Exploration,地理大发现时代
air attaché,空军武官
air force,空军
air power,空权
alienation,异化
All China Federation of Industry and Commerce,中华全国工商联合会
All China Federation of Returned Overseas Chinese,中华全国归国华侨联合会
All China Federation of Taiwan Compatriots,中华全国□□□同胞联谊会
All China Federation of Trade Unions,中华全国总工会
All China Journalists' Association,中华全国新闻工作者协会
All China Sports Federation,中华全国体育总会
All China Women's Federation,中化全国妇女联合会
All China Youth Federation,中华全国青年联合会
all-round well-off society 6,全面小康社会
alternate member,候补委员
altruism,利他主义
ambassador extraordinary and plenipotentiary,特命全权大使
ambassador-at-large,无任所大使
American hegemony,美利坚霸权
American Indian Civilization,美洲印第安文明
"American Revolution (1775-1783) Also called the War of Independence and the Revolutionary War, this epoch-making event led to the end of British rule over the 13 colonies.",美國獨立戰爭（1775-1783）
Amnesty International,大赦国际
an atmosphere of cordiality and friendship,诚挚友好的气氛
an established principle of international law,国际法准则
anarchism,无政府主义
anarchy,无政府状态
announcement,"公告,通告"
Antarctic Treaty: an international agreement that prohibits all military activity on the Antarctic continent and allows for inspection of all nations' facilities there. It also nullifies allterritorial claims to Antarctic land and pledges the signatories to peaceful cooperation in exploration and research.,南極條約
antecedents of realist theory,现实主义理论渊源
anti-semitism,反犹太主义
antinuclear movements,反核运动
antitrust law,反托拉斯法
apartheid system: the South African system designed to perpetuate racial domination by whites prior to the advent of black majority rule there in the early 1990s.,種族隔離制度
appeasement,绥靖
appellate court: a court that reviews cases on appeal from district courts.,上訴法院
approval voting,同意投票
arbitration,仲裁
armed force (two terms),军队/武装力量
arms control,军备控制
"arms dealer, merchant of death",军火商
"arms race: reciprocal military buildups between rival states; a process that tends to accelerate research, technology, and development in weapons systems and, according to some experts, is a potential cause of war.",軍備競賽
Articles of Confederation,邦联条例
"ASEAN, the Association of Southeast Asian nations",东南亚国家联盟
Asia Minor,小亚细亚
"Asian flu: A term used to describe the widespread financial turmoil in Asian stock markets, financial institutions, and economies in 1997.",亞洲流感
Assistant Minister,部长助理
association agreement,联系协定
Association for Int'l Understanding of China,中国国际交流协会
assured destruction,确保摧毁
asylum (two terms),庇护；避难
asymmetric information,信息不对称
asymmetrical strategy,不对称战略
at the invitation of...,应...邀请
Atlantic Alliance,大西洋联盟
Atlantic Charter,大西洋宪章
atomic bomb,原子弹
atrocity,暴行
attaché,随员
auditing administration,审计署
autarky,自给自足
authoritarianism (2),"独裁主义，权威主义,專制國家"
autonomous,自治
Axis Powers,轴心国
balance of payments,国际收支
balance of power,"权力制衡,均势"
balance of trade,贸易平衡
"Balanced Budget: Act of 1997 Passed by Congress in 1997, this historic measure mandated a balanced federal budget by 2001 but was ironically undone in that very year by the events of 9/11.",1997年平衡預算法案1997
"Balfour Declaration: Named for the British foreign secretary who, in 1947, declared that the United Kingdom favored ""the establishment in Palestine of a national home for the Jewish people"" and pledged to ""facilitate the achievement of this object, it being clearly understood that nothing shall be done which may prejudice the civil and religious rights of the existing non-Jewish communities in Palestine or the rights and political status enjoyed by Jews in any other country.""",貝爾福宣言
Balkan,巴尔干
ballistic missile defense,弹道导弹防御
Ballot,选票
Baltic,波罗的海
ban,禁止
Bandung conference,万隆会议
bandwagon,搭便车
barbarism,野蛮状态
basic pensions for retirees,离退休人员基本养老金
"Bastille: At the time of the French Revolution (1789), the Bastille was the infamous royal prison in Paris; the mass storming of the Bastille on July 14, 1789, and the freeing of the prisoners constituted a direct attack against the monarchy and symbolized the end of an era in French history; the revolutionaries then used the guillotine against none other than the reigning Bourbon monarch, King Louis XVI, and his extravagant wife, Queen Marie Antoinette.",寨Zhài
be appointed ambassador to ...,被任命为驻...大使
be deeply concerned about sth.,对某事表示深切关注
"be of the opinion, to hold, to consider, to maintain",认为
behavioral engineering The carefully programmed use of rewards and punishments to instill desired patterns of behavior in an individual or an animal.,行為工程
behaviorism An approach to the study of politics that emphasizes fact-based evaluations of action.,行為主義
Berlin Wall,柏林墙
bicameralism Division of the legislature into two houses.,兩院制Liǎngyuànzhì
bilateral agreement,双边协议
bilateral aid,双边援助
bilateral and multilateral economic cooperation,双边和多边经济合作
bilateral conflict,双边冲突
bilateral trade,双边贸易
bilateralism,双边主义
bill (two terms),法案，议案
bill of attainder: a legislative decree that declares a person guilty and prescribes punishment without any judicial process.,法案的褫奪Fǎ'àn de chǐduó
Bill of rights,权利法案
Biological Weapons Convention (BWC): A 1972 international arms control treaty that pledged the destruction of biological weapon stockpiles and outlawed the production and storage of such weapons.,生物武器公约
bipolar distribution of power,两极权力分布
"bipolar system: the breakdown of the traditional European balance-of-power system into two rival factions headed by the United States and the former Soviet Union, each with overwhelming economic and military superiority and each unalterably opposed to the politics and ideology of the other.",兩極體制
block vote,街区选举，集团投票
body bomb,人体炸弹
Boer War,布尔战争
bolshevik,布尔什维克
bomb,炸弹；轰炸
boundary negotiation,边界谈判
"bourgeoisie: in Marxist ideology, the capitalist class.",資產階級Zīchǎn jiējí
brain trust,智囊团
breadth of territorial sea,领海宽度
breakdown and regime change,倒台与政权更迭
Bretton Woods Agreement,布雷顿森林协定
"brinkmanship: in diplomacy, the deliberate use of military threats to create a crisis atmosphere; the calculated effort to take a tense bilateral relationship to the brink of war in order to achieve a political objective (for example, deterring a common enemy from carrying out an act of aggression against an ally).",邊緣政策
"British Raj: British colonial rule on the Asian subcontinent from the eighteenth century to 1947, when India and Pakistan became independent.",英國拉吉
brokered democracy: this theory holds that the interests of major groups cannot be steamrolled by the majority without jeopardizing democracy and that legislators and decision makers should act as brokers in writing laws and devising policies that are acceptable to all major groups in society.,促成民主
Brussels Treaty,布鲁塞尔条约
Budget/Budgeting,预算，预算编制
buffer state,缓冲国
"Bundesrat: The upper house in the German federal system; its members, who are appointed directly by the Länder (states), exercise mostly informal influence in the legislative process.",聯邦參議院Liánbāng cānyìyuàn
Bundestag: The lower house in the German federal system; most legislative activity occurs in this house.,德國聯邦議院Déguó liánbāng yìyuàn
bureaucracy,官僚制/官僚
bureaucratic politics,官僚政治
Byzantine Empire,拜占庭帝国
Camp David Accords: A 1979 agreement by which Israel gave the Sinai back to Egypt in return for Egypt's recognition of Israel's right to exist; the two former enemies established full diplomatic relations and pledged to remain at peace with one another.,戴維營協議Dàiwéiyíng xiéyì
candidate,候选人，选手
candidate selection,候选人选择
"capitalism: an economic system in which individuals own the means of production and can legally amass unlimited personal wealth. Capitalist theory holds that governments should not impose any unnecessary restrictions on economic activity and that the laws of supply and demand can best regulate the economy. In a capitalist system, the private sector (mainly business and consumers), rather than government, makes most of the key decisions about production, employment, savings, investment, and the like. The opposite of a centrally planned economy such as existed in the Soviet Union under Stalin and Stalin's successors.",資本主義
caretaker government,看守政府
Carthage,迦太基
case study,"个案研究,案例研究"
