number	Freq.	Unicode	Text	syllables	QN	English
1	1.00	U+27D51	𧵑	1	của	of; to belong to; properties, belongings
4	2.00	U+5427	吧	1	và	and, also
5	3.00	U+2A700	𪜀	1	là	to be (also 羅)
14	4.00	U+20B20	𠬠	1	một	one
28	5.00	U+56FA	固	1	có	there is; to have; sure, of course (also 𣎏)
39	6.00	U+4ECD	仍	1	những	(plural marker); some; as many as
41	7.00	U+2029B	𠊛	1	người	people; person; human
49	7.00	U+2029A	𠊚	1	ngài	gentleman; Mr.
50	8.00	U+25A9D	𥪝	1	trong	in; within
52	9.00	U+7279	特	1	được	to get; to obtain; to be able to
61	10.00	U+7A7A	空	1	không	no; not; without; (closed-question marker)
77	11.00	U+340C	㐌	1	đã	already
80	12.00	U+201CD	𠇍	1	mấy	(quite) a few, some; how many
83	12.00	U+5504	唄	1	với	(together) with
86	13.00	U+6731	朱	1	cho	to give; so that
92	14.00	U+5404	各	1	các	each; every; all
95	15.00	U+788E	碎	1	tôi	I, my, me
99	16.00	U+65BC	於	1	ở	to be (somewhere); at; to live
105	17.00	U+7FC1	翁	1	ông	man; Mr.
112	18.00	U+275F1	𧗱	1	về	to return; about; (back) to
116	19.00	U+5E95	底	1	để	to place; to set; to leave; to keep
119	20.00	U+62F1	拱	1	cũng	also; too
121	21.00	U+65E6	旦	1	đán	【day, dawn, morning】*
123	21.00	U+2693E	𦤾	1	đến	to arrive, to come
125	22.00	U+5462	呢	1	này	this; here
129	23.00	U+204E8	𠓨	1	vào	in; into
133	24.00	U+215C9	𡗉	1	nhiều	many; much; a lot of
138	25.00	U+5040	偀	1	anh	elder brother
144	26.00	U+59AC	妬	1	đó	there; that
151	27.00	U+5982	如	1	như	as; like; alike; similar to
158	28.00	U+81EA	自	1	tự	self
166	30.00	U+6B3A	欺	1	khi	when, while; case, circumstance
179	31.00	U+2856D	𨕭	1	trên	above; at the top
182	32.00	U+2B968	𫥨	1	ra	to get out
197	33.00	U+264E1	𦓡	1	mà	but
201	34.00	U+6C9B	沛	1	phải	right; to have to; must; should
203	35.00	U+540F	吏	1	lại	also; to come; again, re-...
215	36.00	U+7FA4	群	1	còn	still; remaining; besides, also
217	37.00	U+20C4A	𠱊	1	sẽ	to be going to; will; shall
218	38.00	U+6642	時	1	thì	【time; era, period】*
227	38.00	U+3598	㖘	1	thì	so, then; certainly
229	39.00	U+221A5	𢆥	1	năm	year
234	40.00	U+722B	爫	1	làm	to do; to make
249	41.00	U+8339	茹	1	nhà	house; home; building
271	42.00	U+2825F	𨉟	1	mình	we; us
276	43.00	U+20AFE	𠫾	1	đi	to go, to walk; come on!
294	44.00	U+21975	𡥵	1	con	child
303	45.00	U+5728	在	1	tại	at, in; because, because of
309	46.00	U+20129	𠄩	1	hai	two
312	47.00	U+88AB	被	1	bị	to befall; (passive preposition)
314	47.00	U+5099	備	1	bị	【to prepare】*
317	48.00	U+5F79	役	1	việc	job; work; business
325	49.00	U+53EA	只	1	chỉ	only; merely
326	50.00	U+4E8B	事	1	sự	matter, business; occurrence, event
335	51.00	U+9076	遶	1	theo	to follow; according to
338	52.00	U+4E10	丐	1	cái	a; the; (numeral)
344	53.00	U+7232	爲	1	vì	because; as; for
350	54.00	U+6B23	欣	1	hơn	more than; better than
351	55.00	U+5450	呐	1	nói	to speak; to say; to talk
357	56.00	U+59D1	姑	1	cô	Ms., young woman; father's sister; husband's mother
360	57.00	U+2321C	𣈜	1	ngày	day
372	58.00	U+3D4B	㵋	1	mới	new; fresh
376	59.00	U+285B2	𨖲	1	lên	 to rise; to ascend; to go up
380	60.00	U+6144	慄	1	rất	very; quite
382	61.00	U+6236	戶	1	họ	they
386	62.00	U+5A46	婆	1	bà	woman; Mrs.
393	63.00	U+5C40	局	1	cuộc	match, game; 【circumstances】*
397	64.00	U+518C	册	1	sách	book
402	65.00	U+540C	同	1	đồng	same; similar; Dong (Vietnamese currency unit)
407	65.00	U+9285	銅	1	đồng	copper; brass; bronze; coin, money
409	65.00	U+578C	垌	1	đồng	field; countryside, country; rural
412	66.00	U+21890	𡢐	1	sau	after; following
424	68.00	U+7576	當	1	đang	currently; just; now
426	69.00	U+548D	咍	1	hay	or; good; well
430	70.00	U+24BE9	𤯩	1	sống	to live; alive; raw
436	71.00	U+5E74	年	1	niên	【year】*
443	71.00	U+229DA	𢧚	1	nên	to ought to, shall; to become
