Number	Chữ quốc ngữ	Chữ Nôm	Hanzi Standard	Hanzi Long Form	Chữ Hán quốc ngữ 	Cantonese	Notes
0	không	空	空	零	linh	lìhng	The foreign-language borrowed word "zêrô (zêro, dê-rô)" is often used in  physics-related publications, or colloquially.
1	một	𠬠	一	壹	nhất	yāt	
2	hai	𠄩	二	貳	nhị	yih	
3	ba	𠀧	三	叄	tam	sāam	
4	bốn	𦊚	四	肆	tứ	sei	In the ordinal number system, the Sino-Vietnamese "tư／四" is more  systematic; as the digit 4 appears after the number 20 when counting  upwards, the Sino-Vietnamese "tư／四" is more commonly used.
5	năm	𠄼	五	伍	ngũ	ńgh	In numbers above ten that end in five (such as 115, 25, 1055), five is  alternatively pronounced as "lăm／𠄻" to avoid possible confusion with " năm／𢆥", a homonym of năm, meaning "year". Exceptions to this rule are  numbers ending in 05 (such as 605, 9405).
6	sáu	𦒹	六	陸	lục	luhk	
7	bảy	𦉱	七	柒	thất	chāt	In some Vietnamese dialects, it is also read as "bẩy".
8	tám	𠔭	八	捌	bát	baat	
9	chín	𠃩	九	玖	cửu	gáu	
10	mười • một chục	𨒒	十	拾	thập	sahp	Chục is used colloquially. "Ten eggs" may be called một chục quả trứng  rather than mười quả trứng. It's also used in compounds like mươi  instead of mười (e.g.: hai mươi/chục "twenty").
100	trăm • một trăm	𤾓 • 𠬠𤾓	百	佰	bách(bá)	baak	The Sino-Vietnamese "bách／百" is commonly used as a morpheme (in compound  words), and is rarely used in the field of mathematics as a digit. Example:  "bách phát bách trúng／百發百中".
1000	nghìn (ngàn) • một nghìn (ngàn)	𠦳 • 𠬠𠦳	千	仟	thiên	chīn	The Sino-Vietnamese "thiên／千" is commonly used as a morpheme, but rarely  used in a mathematical sense, however only in counting bricks, it is used.  Example: "thiên kim／千金". "nghìn" is the standard word in Northern  Vietnam, whilst "ngàn" is the word used in the South.
10000	mười nghìn (ngàn)	𨒒𠦳	萬	萬	vạn • một vạn	maahn	The "một／𠬠" within "một vạn／𠬠萬" is a native Vietnamese (intrinsic term)  morpheme. This was officially used in Vietnamese in the past, however, this  unit has become less common after 1945, but in counting bricks, it is still  widely used. The borrowed native pronunciation muôn for 萬 is still used in  slogans such as "muôn năm" (ten thousand years/endless).
100000	trăm nghìn (ngàn) • một trăm nghìn (ngàn)	𤾓𠦳 • 𠬠𤾓𠦳	億	億	ức • một ức • mười vạn[1]	sahp maahn	The "mười／𨒒" and "một／𠬠" within "mười vạn／𨒒萬" and "một ức／𠬠億" are  native Vietnamese (intrinsic term) morphemes.
1000000	-	-	兆	兆	triệu • một triệu • một trăm vạn[2]	yāt baak maahn	The "một／𠬠" and "trăm／𤾓" within "một triệu／𠬠兆" and "một trăm vạn／𠬠𤾓萬"  are native Vietnamese (intrinsic term) morphemes.
10000000	-	-	𨒒兆	𨒒兆	mười triệu	yīk yīk	The "mười／𨒒" within "mười triệu／𨒒兆" is a native Vietnamese (intrinsic term)  morpheme.
100000000	-	-	𤾓兆	𤾓兆	trăm triệu	yāt siuh	The "trăm／𤾓" within "trăm triệu／𤾓兆" is a native Vietnamese (intrinsic  term) morpheme.
1000000000	-	-	秭[3]	秭[3]	tỷ		
1012	-	-	𠦳秭	𠦳秭	nghìn (ngàn) tỷ		
1015	-	-	兆秭	兆秭	triệu tỷ		
1018	-	-	秭秭	秭秭	tỷ tỷ		
