index	sequence_index	section	thai	phonetic	register	definition	note	custom-note
1	1	1	ถูกเผงเลย	tùuk pěng ləəi		Spot on!; Exactly!; You hit the nail on the head!	-ถูกต้อง(เลย) (tùuk dtɔ̂ng; tùuk dtɔ̂ng ləəi) — has a similar meaning but is a bit less emphatic.	
2	2	1	นั่นแหละ	nân-lɛ̀		Exactly.; That’s it/right.; There you are then.; That’s… (or emphasizes preceding part of sentence).		
3	3	1	(ก็)นั่นน่ะสิ	nân-nâ-sì; gɔ̂ɔ nân-nâ-sì		Quite right!; Yes…; Exactly!; That’s just it!		
4	4	1	จะไปแล้ว	jà bpai lɛ́ɛo		(I) gotta get going; I’m gonna go now.; I gotta run.		
5	5	1	ไปไหน	bpai nǎi		Where are you going?		
6	6	1	พูดเล่น	pûut-lên		Just joking!; I’m kidding.		
7	7	1	อย่าพูดเล่น	yàa pûut-lên		Don’t joke around.		
8	8	1	โอ้โฮ	ôo-hǒo		 Wow!; Oh!; Gee!; Holy Cow!; Whoa! (shows surprise in a kind of cute, comical way)		
9	9	1	ตายแล้ว	dtaai-lɛ́ɛo		Goodness!; Shoot!; Shit! Oh my!		
10	10	1	ทุกอย่างจะดีขึ้นเอง	túk-yàang jà dii kʉ̂n eeng		Everything will be okay/  work out.; It will all work out.		
11	11	1	อีกแล้วหรือ	ìik lɛ́ɛo rʉ̌ʉ		Again?!; It happened again?!; You did it again?!		
12	12	1	ไม่ใช่ครั้งแรก	mâi-châi kráng-rɛ̂ɛk		This/That/It’s not the first time.		
13	13	1	คุณว่าอะไรนะ	kun wâa àrai ná		What did you say?	-คุณพูดว่าอะไรนะ (kun pûut wâa àrai ná) — is a bit longer and less casual way to say this.	
14	14	1	ใครว่า	... (krai wâa…)		Who says…?; Who said…?		
15	15	1	โธ่เอ๋ย/โธ่เอ๊ย	tôo-əə̌i/tôo-əə́i		 Oh man!; Come on man!; Oh dear!; Shit!; (Oh), damn!, etc.		
16	16	1	อะไรก็ได้	à-rai gɔ̂ɔ dâi		Anything’s fine.; Whatever you want.; whatever; anything		
17	17	1	หุบปาก	hùp-bpàak		Shut up!; Keep quiet!; Shush!; Zip it!		
18	18	1	บอกแล้วไง(...)	bɔ̀ɔk lɛ́ɛo ngai…		I told you…; I told you so.		
19	19	1	อย่ามายุ่ง(กับ...)	yàa maa yûng; yàa maa yûng gàp…		Don’t mess with (me)!; Leave me alone!; Bug off!; Stay out of it!		
20	20	1	พูดง่ายแต่ทำยาก	pûut ngâai dtɛ̀ɛ tam yâak		Easier said than done!; Easy to say but difficult to do.		
21	1	2	ไม่เข้าใจจริงๆ	mâi-kâo-jai jing-jing		I don’t understand at all! / I really don’t understand.		
22	2	2	ไม่เห็นด้วยเลย	mâi hěn-dûai ləəi		I don’t agree at all. / I disagree!		
23	3	2	อย่างนี้นี่เอง	yàang-níi nîi eeng		(Oh,) I see. / Aha. / Oh, I got it. / Oh, that’s how it is.		
24	4	2	(ก็)แล้วแต่(คุณ)	gɔ̂ɔ) lɛ́ɛo dtɛ̀ɛ (kun		It’s up to you. / Up to you.		
25	5	2	มันเรื่องอะไรกัน	man rʉ̂ang àrai gan		What’s going on?! / What’s this all about?!		
26	6	2	มันไม่ได้เป็นอย่างนั้น	(man mâi-dâi bpen yàang-nán)		It’s not like that. / That’s not how it is. / That’s not the case. / That’s not true.		
27	7	2	อะไรทำนองนั้น	à-rai tam-nɔɔng nán		Something like that. / Something along those lines.		
28	8	2	คงยังงั้น/คงงั้นมัง/คงยังงั้นมัง/คงงั้นมั้ง	kong yang-nán / kong ngán mang / kong yang-ngán mang / kong ngán máng	INFORMAL	I guess so. / I think so. / Probably.		
29	9	2	ไม่มีอะไร	mâi mii à-rai		It’s nothing. / Nothing. / There is nothing.		
30	10	2	เอาล่ะ	ao-lâ		Okay…(let’s start); Alright then…		
31	11	2	เอาซิ/เอาดิ	ao-sí / ao-dì	INFORMAL	Come on (do it)! / Bring it on! / Sure! / Do it!		
32	12	2	ไม่เอาน่า	mâi ao nâa		Come on! (Are you crazy?/really?) / No…!		
33	13	2	อย่านะ	yàa ná	INFORMAL	Don’t! / Don’t do that! / Please!		
34	14	2	อย่ามาทำเป็น	... (yàa tam bpen...)	INFORMAL	Don’t (act like)… !		
35	15	2	อย่าเลย	yàa ləəi		You’d better not. / Please don’t. / Don’t do it.		
36	16	2	คิดอะไรของคุณ	kít à-rai kɔ̌ɔng kun	INFORMAL	What were you thinking?! (Are you crazy / Why did you do that?)		
37	17	2	มีปัญหาอะไร	mii bpan-hǎa à-rai		What’s the problem? / What’s the matter?		
38	18	2	อยากรู้ใช่ไหม	yàak rúu châi mǎi		You wanna know, don’t you?		
39	19	2	ใจคอไม่ดี	jai-kɔɔ mâi-dii		I have a bad feeling. (something bad will happen)		
40	20	2	ไม่ต้องห่วงหรอกนะ	mâi-dtɔ̂ng hùang rɔ̂ɔk ná		Don’t worry about it. / There’s no need to worry about it at all.		
41	1	3	หิวหรือยัง	hǐu rʉ̌ʉ yang		Are you hungry (yet)?		
42	2	3	ไม่ได้กินอะไร(มา)ตั้งแต่เช้า	(mâi dâi gin à-rai (maa) dtâng-dtɛ̀ɛ cháao)		I haven’t eaten anything since this morning.		
43	3	3	นี่อะไร(ครับ/คะ)	(nîi à-rai; nîi à-rai kráp; nîi à-rai kà)		What’s this?		
44	4	3	ฝีมือผมเอง/ทำเอง	fǐi-mʉʉ pǒm eeng / tam-eeng		I made it myself.		
45	5	3	ระวังนะ มันร้อน	rá-wang ná man rɔ́ɔn		Be careful—it’s hot.		
46	6	3	เก่งนี่	gèng nîi		Wow, you’re very good at that! / Great job! / Wow, you’re very good at that! //Brilliant!		
47	7	3	เรื่องมาก(จัง)	rʉ̂ang mâak; rʉ̂ang mâak jang		You’re so fussy/high-maintenance/demanding!		
48	8	3	ใช่แล้ว	châi lɛ́ɛo		That’s right!		
49	9	3	รู้ได้ยังไง	rúu dâi yang-ngai		How do you know?		
50	10	3	ตกลงครับ	dtòk-long kráp		Okay, (I agree). / Agreed. / Alright.		
51	11	3	รู้ไหม	rúu-mǎi		Do/Did you know…?		
52	12	3	(ผม)ลืมไป	pǒm lʉʉm bpai; lʉʉm bpai		I forgot.		
53	13	3	เดี๋ยวนะคะ	dǐao ná-ká		Wait. / Wait a second. / Hold on.		
54	14	3	เจอแล้ว	jəə lɛ́ɛo		I found it/him/her.		
55	15	3	ยังไม่ง่วง	yang mâi ngûang		I’m not sleepy yet.		
56	16	3	มาแล้ว	maa lɛ́ɛo		It’s here. / She’s here. / Here he comes (He’s here.)		
57	17	3	อีกแล้วเหรอ	iìk lɛ́ɛo rə̌ə		Again?! / Not again! / Him again?! / Another… ?!		
58	18	3	แล้วคุณล่ะ	lɛ́ɛo kun lâ		What about you? / And you?		
59	19	3	หึงหรือ	hʉ̌ng rʉ̌ʉ		Are you jealous?		
60	20	3	เกือบไปแล้ว	gʉ̀ap bpai lɛ́ɛo		That was close! / Close one! / Close call!		
61	1	4	ทำง่าย	tam ngâai		Easy to make!		
62	2	4	อร่อยจังเลย	à-rɔ̀i jang ləəi		It’s delicious! / This is great!		
63	3	4	ไม่มีอะไรเหลือ	mâi mii àrai lʉ̌a		There’s nothing left. / It’s all gone.		
64	4	4	ต้องอย่างนั้น(สิ)	dtɔ̂ng yàang nán; dtɔ̂ng yàang nán sì		Now you’re talking! / That’s it! / That’s what I’m talking about!		
65	5	4	ไม่มีทาง	mâi mii taang		No way!		
66	6	4	ดูแลตัวเองดีๆนะ	duu-lɛɛ dtua-eeng dii-dii ná [kráp/ká]		Take good care of yourself. / Please take care.		
67	7	4	ไม่ชอบขี้หน้าเขา	mâi chɔ̂ɔp kîi-nâa kǎo	SLANG	I can’t stand him! / I hate the sight of him!		
68	8	4	สวยไม่ใช่เล่น	sǔai mâi châi lên	SLANG	She’s really beautiful! / She’s pretty darn good lookin’!		
69	9	4	คุณต้องการอะไร	kun dtɔ̂ng-gaan à-rai		What do you want? / What do you need?		
70	10	4	ตัดใจไม่ได้	dtàt-jai mâi-dâi		I can’t get over her. / I can’t forget her. / I can’t let her go. / I can’t stop thinking about her.		
71	11	4	ทำไมไม่บอก(ผม)	tam-mai mâi bɔ̀ɔk; tam-mai mâi bɔ̀ɔk pǒm		Why didn’t you tell me?		
72	12	4	เป็นครั้งแรกในชีวิต	bpen kráng-rɛ̂ɛk nai chii-wít		It’s the first time in my life. / This is the first time (I’ve done this) in my life.		
73	13	4	จะเข้าห้องน้ำ	jà kâo hɔ̂ng-nám	INFORMAL	I’m gonna go to the bathroom/restroom.		
74	14	4	เอาไงดี	ao ngai dii	INFORMAL	Now what? / What should we do now?	ไง (ngai) is short for อย่างไร (yàang-rai)	
75	15	4	คอยดูนะ	kɔɔi duu ná		Wait and see! / You’ll see! / You watch…		
76	16	4	ตื่นแล้วเหรอ	dtʉ̀ʉn lɛ́ɛo rə̌ə		Oh, you’re awake? / You’re up? / Are you awake?		
77	17	4	ให้ตายเถอะ	hâi dtaai tə̀	INFORMAL	For God’s sake! / Damn it! / Bloody hell! / Shit!		
78	18	4	อย่าเพิ่ง/อย่าเพิ่ง	... (yàa pə̂ng / yàa pə̂ng…)		Don’t! / Don’t…. (do something yet)		
