no.	vi	en	nom	sample-group	notes-north	notes-central	notes-south
1	hỏi	ask	𠳨	dấu hỏi question tone	Only the entry portion of the tone realised - lands at bottom.	Full tone realised - dip then up.	Full tone realised - dip then up.  'o' sound higher and further forward compared to north.
2	can đảm	brave	干 đảm	dấu hỏi question tone	Only entry portion of tone realised in đảm.  Notice 'a' in can and 'a' in đảm have different articulation points - đảm furhter forward, more like ae.	Full tone realised.  'A' in both words is forward 'ae'. Final 'n' in 'can' sounds like 'ng'.	Both 'a' further forward like 'ae'.  Final 'n' is realised as 'ng'.
3	cẩn thận	careful	謹 thận	dấu hỏi question tone	Higher pitch onset of Hỏi tone, also notice the short vowel and abrubt stop of nạng tone in thận.	Throat more relaxed allowing longer vowel length and full realisation of thone. 	Longer vowel length allowing full realisation of tones.  Also, final 'n' in thận moving closer to 'ng'.
4	vẽ	painting	𦘧	dấu ngã wavy tone	Full 'break' in voice for vễ tone.	Full break in voice for vễ tone.	Broken vẽ tone loses break - turns into vẻ.
5	xã hội	society	社会	dấu ngã wavy tone	Full break in voice for xã.	Full break in voice for xã.	Softer break in voice for xã - closer to xả.
6	sạch sẽ	clean	瀝 仕	dấu ngã wavy tone	Final 'ch' pronounced as 'k' - sẽ has full break in voice.	'S' in sạch turns into 'sh'. Final 'ch' turns into 't'.  sẽ has full break in tone.	Final 'ch' turns into 't'.  Sẽ tone softens to become Sẻ.
7	con dao	knife	𡥵 刀	Consonant D vs. R	D realised as 'z'.	D realised as 'y'.  Final 'n' turns into 'ng'. The AO vowel moved forward to aeow.	D turns into 'y' and 'ao' is very forward - aeow.
8	dâu tây	Strawberry	妯 西	Consonant D vs. R	The âu in dâu and tây are different - dâu further back, but tây moves forward as need palatisation at end for y in tây	D realised as 'y'.	D realised as 'y'.
9	dễ dãi	easygoing	易 豸	Consonant D vs. R	D realised as 'z'. Full break in dễ tone.	D realised as 'y'. 	D realised as 'y'.  Dẽ tone turns into Dẻ.
10	rõ ràng	clearly	𤑟 𤉜	Consonant D vs. R	R realised as 'z'	R realised as cerebral, tapped 'r'.  A in ràng more forward as 'ae'.	R fully retroflex 'r' and 'a' is forward as 'ae'.
11	run rẩy	trembling	run rẩy	Consonant D vs. R	R realised as 'z'. Rẩy tone only half realised to bottom of dip.	R is cerebral flap.	R retroflex 'r' flap. 
12	con rắn	snake	𡥵 𧋻	Consonant D vs. R	R realised as a 'z'	R cerebral flap.  Final 'n' in Con turns to ng.	R is retroflex 'r' flap.
13	ăn	eat	咹	Final N -> Ng	A normal short back.  N - normal final n.	Final 'n' moves towards soft 'ng'.	Final 'n' turns to soft 'ng' - note mouth lateral 'smile'.
14	tin nhắn	message	信 nhắn	Final N -> Ng	I normal I- slighly long, n normal n.	I moving back closer to ư, final n turns to ng.	I moves back to ư and final n to ng.
15	thân thiện	friendly	身 善	Final N -> Ng	Final thiện tone very short - glottal stop.	Final 'n' turns to 'ng'.  Ie turns to long i.	Final n turns into ng. Ie turns into long i.
16	xinh	pretty	生	Final Nh -> N	Final nh palatised nh verging on 'ng'	Final 'nh' realised as 'n' - vowel shifts back to ư.	Final 'nh' realised as 'n' - vowel shifts back to ư.
17	quả chanh	lemons	果 爭	Final Nh -> N	Final nh palatised. quả tone only half realised.	Final 'nh' becomes 'n'. Ch more forward becomes 'c'.	Final 'nh' becomes 'n'. Ch more forward becomes 'c'.
18	thông minh	clever	聪 明	Final Nh -> N	Final nh palatised. Final 'ng' also has closed lips 	Final 'ng' has closed lips.  Nh turns into n.	Final ng has closed lips, final nh turns into 'n' and i before nh turns into ư.
19	kính	glasses	敬	Final Nh -> N	Clear 'i', palatised 'nh'	I turns to ư, nh turns to n.	kiếng instead of kính. Keeps ie as long i. Nh turns to n.
20	đắt	expensive	đắt	Final T -> C	T normal	Final T becomes C	Final T becomes C
21	thật thà	true	寔 他	Final T -> C	T normal	Final T become C	Final T become C. A in thà further forward -> ae.
22	mát mẻ	cool	沫 mẻ	Final T -> C	Glottalised T	Glottalised T to point of not touching palate.	Glottalisation of T turns into glottalised k.
23	thích	prefer	釋	Final C, Ch -> T	I is i, Ch is C.	I becomes ư, final Ch palatised to t.	I becomes ư, final Ch palatised to t.
24	khách sạn	hotel	客 棧	Final C, Ch -> T	Final ch is 'k', a in sạn very short and killed low.	Final Ch becomes t, s becomes 'sh' and tone longer ending in clear 'n'	Final ch is t, final n is 'ng'.
25	khác	other	恪	Final C, Ch -> T	Final ch is 'k'	Final ch is 't' - lips close on t.	Final ch is t.
26	tiền	money	銭	Vowel ie -> i	standard diphthong iề	ie becomes i.	ie becomes i.
27	biết	know	别	Vowel ie -> i	Standard ie diphthong	ie becomes very long i.	ie becomes shorter i.
28	việt nam	Vietnam	越 南	Vowel ie -> i	Standard ie diphthong	ie becomes very long i.	ie becomes shorter i.
29	muốn	want	㦖	Vowel uô -> u	Standard uô diphthong vowel	uô becomes u. Final n becomes ng.	uô becomes u. Final N palatises to point of almost ng.
30	uống	to drink	㕵	Vowel uô -> u	Standard uô diphthong vowel	uô becomes u	uô becomes u
31	xuống	down	𫴋	Vowel uô -> u	Standard uô diphthong vowel	uô becomes u	uô becomes u
