English	Viet
difficult	khó (adj)
English is difficult.	Tiếng Anh thì khó.
year	năm (n)
one year	một năm
today	hôm nay (n)
today at 6:15	hôm nay lúc sáu giờ mười lăm phút
tomorrow	ngày mai (n)
See you tomorrow!	Hẹn gặp lại bạn ngày mai!
yesterday	ngày hôm qua
I took a day off yesterday.	Tôi đã nghỉ làm ngày hôm qua.
calendar	lịch (n)
one calendar year	một năm theo lịch
second	giây (n)
for ten seconds	trong vòng mười giây
hour	giờ (n)
I’ll be home from work in an hour.	Tôi sẽ từ chỗ làm về nhà trong một giờ nữa.
minute	phút (n)
There are sixty seconds in a minute.	Một phút có sáu mươi giây.
o'clock	giờ (n)
clock	đồng hồ (n)
alarm clock	đồng hồ báo thức
one hour	một giờ (n)
can	có thể (adv)
He can drive, but not very well.	Anh ấy có thể lái xe nhưng không giỏi lắm.
use	sử dụng (v)
The programmer uses the computer.	Người lập trình viên sử dụng máy tính.
do	Làm (v)
The woman does housework.	Người phụ nữ làm việc nhà.
go	Đi (v)
The people went to Los Angeles.	Người ta đã đi Los Angeles.
come	đến (v)
The girl came towards the video camera.	Cô gái đã đến gần cái máy quay phim.
laugh	cười (v)
The couple laughs at a joke.	Cặp đôi cười vì câu chuyện khôi hài.
make	làm (v)
The maid is making the bed in a hotel room.	Người hầu gái đang dọn giường trong một phòng khách sạn.
see	nhìn (v)
see something	nhìn cái gì đó
far	xa (adj)
The woman is looking at something far away.	Người phụ nữ đang nhìn xa xăm.
small	nhỏ (adj)
good	tốt (adj)
Vegetables are good for you.	Rau tốt cho bạn.
beautiful	đẹp (adj)
beautiful actress	nữ diễn viên xinh đẹp
ugly	xấu xí (adj)
ugly face	khuôn mặt xấu xí
easy	dễ (adj)
bad	xấu (adj)
The man is bad.	Người đàn ông xấu tính.
near	gần (adj)
I live near the university.	Tôi sống gần trường đại học.
Nice to meet you.	Rất vui được gặp bạn.
Hello.	Xin chào!
Good morning.	Xin chào!
Good afternoon.	Xin chào!
Good evening.	Xin chào!
Good night.	Chúc ngủ ngon!
How are you?	Bạn có khỏe không?
Thank you!	Cảm ơn.
thank you, but	cảm ơn bạn, nhưng
No.	Không.
Delicious!	Ngon tuyệt!
I'm...(name).	Tôi là....
Goodbye.	Tạm biệt!
Yes.	Vâng.
The workweek starts on Monday.	Tuần làm việc bắt đầu vào thứ hai
Monday	thứ Hai (n)
Tuesday	thứ Ba
Wednesday	thứ Tư (n)
Thursday	thứ Năm (n)
Friday	thứ Sáu (n)
Saturday	thứ Bảy (n)
Sunday	Chủ Nhật (n)
Monday, Tuesday, Wednesday, Thursday and Friday are weekdays.	Thứ hai, thứ ba, thứ tư, thứ năm, thứ sáu là ngày trong tuần.
Today is Saturday, September 10th.	Hôm nay là thứ Bảy ngày 10 tháng Chín.
Sunday the 17th	chủ nhật ngày mười bảy
May	tháng Năm (n)
May flowers	hoa tháng Năm
January	tháng Một (n)
Tuesday, January 1st	thứ Ba ngày 1 tháng Một
February	tháng Hai (n)
Leap year day is February 29th.	Ngày năm nhuận là ngày 29 tháng Hai.
March	tháng Ba (n)
March marks the start of Spring in the northen hemisphere and fall in the southern hemisphere.	Tháng Ba đánh dấu sự khởi đầu của mùa xuân ở bắc bán cầu và mùa thu ở nam bán cầu.
April	tháng Tư (n)
It is now April so next month will be May.	Bây giờ là tháng Tư nên tháng sau sẽ là tháng Năm.
June	tháng Sáu (n)
We are getting married in June.	Chúng tôi sẽ kết hôn vào tháng Sáu.
July	tháng Bảy (n)
July is named for Julius Caesar, who was born in July.	tháng Bảy (July) được đặt theo tên Julius Caesar, người cũng được sinh vào tháng Bảy.
August	tháng Tám (n)
The school is closed in August.	Trường học đóng cửa vào tháng Tám.
September	tháng Chín (n)
Today is Saturday, September 10th.	Hôm nay là thứ Bảy ngày 10 tháng Chín.
October	tháng Mười (n)
Halloween falls on October 31st.	Halloween rơi vào ngày 31 tháng Mười.
November	tháng Mười Một (n)
Thanksgiving, Thursday November 24th	Lễ tạ ơn, thứ Năm ngày 24 tháng Mười Một
December	Tháng Mười Hai (n)
Friday, December 8th	thứ Sáu ngày 8 tháng Mười Hai
zero	không (n)
number zero	số không
one	một (n)
one degree	một độ
two	hai (n)
The number two is my favorite number.	Số hai là con số yêu thích của tôi.
three	ba (n)
three degrees	ba độ
four	bốn (n)
November is one of four months with thirty days.	Tháng Mười Một là một trong bốn tháng có ba mươi ngày.
five	năm (n)
I ate five doughnuts.	Tôi đã ăn năm cái bánh rán.
six	sáu (n)
six degrees	sáu độ
seven	bảy (n)
seven days a week	bảy ngày mỗi tuần
eight	tám (n)
eight things	tám thứ
nine	chín (n)
